@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',518,29328,29328,2896,32224,-32108,116,42209,42325,16421,58746,-29329,29417,'byte_10000'
'time_0',29328,2807,32224,-32108,116,42209,42325,16421,58746,-29329,29417,-29124,293,'byte_10000'
'time_0',32224,-177,116,42209,42325,16421,58746,-29329,29417,-29124,293,55604,55897,'byte_500'
'time_0',116,-13572,42325,16421,58746,-29329,29417,-29124,293,55604,55897,-23312,32585,'byte_10000'
'time_0',42325,26161,58746,-29329,29417,-29124,293,55604,55897,-23312,32585,26416,59001,'byte_10000'
'time_0',58746,-29584,29417,-29124,293,55604,55897,-23312,32585,26416,59001,-26794,32207,'byte_500'
'time_1',29417,-31914,293,55604,55897,-23312,32585,26416,59001,-26794,32207,-19987,12220,'byte_10000'
'time_1',293,43677,55897,-23312,32585,26416,59001,-26794,32207,-19987,12220,38772,50992,'byte_500'
'time_1',55897,-18407,32585,26416,59001,-26794,32207,-19987,12220,38772,50992,-50759,233,'byte_500'
'time_1',32585,58768,59001,-26794,32207,-19987,12220,38772,50992,-50759,233,32010,32243,'byte_10000'
'time_1',59001,-36,32207,-19987,12220,38772,50992,-50759,233,32010,32243,-8908,23335,'byte_500'
'time_1',32207,-11115,12220,38772,50992,-50759,233,32010,32243,-8908,23335,-23300,35,'byte_500'
'time_2',12220,50957,50992,-50759,233,32010,32243,-8908,23335,-23300,35,64369,64404,'byte_10000'
'time_2',50992,-64171,233,32010,32243,-8908,23335,-23300,35,64369,64404,-64404,0,'byte_500'
'time_2',233,32243,32243,-8908,23335,-23300,35,64369,64404,-64404,0,0,0,'byte_500'
'time_2',32243,23335,23335,-23300,35,64369,64404,-64404,0,0,0,90044,90044,'byte_10000'
'time_2',23335,-90009,35,64369,64404,-64404,0,0,0,90044,90044,-90044,0,'byte_500'
'time_2',35,64404,64404,-64404,0,0,0,90044,90044,-90044,0,0,0,'byte_500'
'time_3',64404,0,0,0,0,90044,90044,-90044,0,0,0,32218,32218,'byte_500'
'time_3',0,-32218,0,90044,90044,-90044,0,0,0,32218,32218,-32211,7,'byte_500'
'time_3',0,90037,90044,-90044,0,0,0,32218,32218,-32211,7,-7,0,'byte_500'
'time_3',90044,0,0,0,0,32218,32218,-32211,7,-7,0,36649,36649,'byte_500'
'time_3',0,-36649,0,32218,32218,-32211,7,-7,0,36649,36649,-36614,35,'byte_500'
'time_4',0,32183,32218,-32211,7,-7,0,36649,36649,-36614,35,-35,0,'byte_500'
'time_4',32218,7,7,-7,0,36649,36649,-36614,35,-35,0,0,0,'byte_500'
'time_4',7,0,0,36649,36649,-36614,35,-35,0,0,0,0,0,'byte_10000'
'time_4',0,36649,36649,-36614,35,-35,0,0,0,0,0,0,0,'byte_500'
'time_4',36649,35,35,-35,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',35,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_5',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,0,0,32224,32224,'byte_500'
'time_6',0,0,32224,-32224,0,0,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_6',32224,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,32256,32256,'byte_10000'
'time_7',0,-32256,0,0,0,0,0,0,0,32256,32256,-2961,29295,'byte_500'
'time_7',0,-29295,0,0,0,0,0,32256,32256,-2961,29295,-29295,0,'byte_500'
'time_7',0,0,0,0,0,32256,32256,-2961,29295,-29295,0,29289,29289,'byte_500'
'time_8',0,-29289,0,32256,32256,-2961,29295,-29295,0,29289,29289,-29289,0,'byte_10000'
'time_8',0,32256,32256,-2961,29295,-29295,0,29289,29289,-29289,0,0,0,'byte_10000'
'time_8',32256,29295,29295,-29295,0,29289,29289,-29289,0,0,0,29318,29318,'byte_500'
