@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',6494,0,0,2533,2533,4745,7278,4809,12087,'byte_500'
'time_0',0,-9554,2533,4745,7278,4809,12087,-12086,1,'byte_500'
'time_0',2533,7277,7278,4809,12087,-12086,1,4026,4027,'byte_4500'
'time_0',7278,8060,12087,-12086,1,4026,4027,12090,16117,'byte_500'
'time_1',12087,-16116,1,4026,4027,12090,16117,-16117,0,'byte_500'
'time_1',1,4027,4027,12090,16117,-16117,0,20144,20144,'byte_4500'
'time_1',4027,-4027,16117,-16117,0,20144,20144,-12813,7331,'byte_500'
'time_1',16117,-7331,0,20144,20144,-12813,7331,-5495,1836,'byte_500'
'time_1',0,18308,20144,-12813,7331,-5495,1836,6224,8060,'byte_500'
'time_1',20144,-729,7331,-5495,1836,6224,8060,-4398,3662,'byte_500'
'time_2',7331,-1826,1836,6224,8060,-4398,3662,-3659,3,'byte_500'
'time_2',1836,8057,8060,-4398,3662,-3659,3,8718,8721,'byte_500'
'time_2',8060,-5059,3662,-3659,3,8718,8721,-1398,7323,'byte_500'
'time_2',3662,-7320,3,8718,8721,-1398,7323,-7323,0,'byte_500'
'time_2',3,8721,8721,-1398,7323,-7323,0,1575,1575,'byte_500'
'time_2',8721,5748,7323,-7323,0,1575,1575,654,2229,'byte_4000'
'time_3',7323,-2229,0,1575,1575,654,2229,-2224,5,'byte_500'
'time_3',0,1570,1575,654,2229,-2224,5,4023,4028,'byte_4000'
'time_3',1575,-1799,2229,-2224,5,4023,4028,-368,3660,'byte_500'
'time_3',2229,-3655,5,4023,4028,-368,3660,-3660,0,'byte_4500'
'time_3',5,4028,4028,-368,3660,-3660,0,0,0,'byte_4000'
'time_4',4028,3660,3660,-3660,0,0,0,0,0,'byte_8500'
'time_4',3660,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,4028,4028,'byte_7500'
'time_4',0,-4028,0,0,0,4028,4028,-4026,2,'byte_4500'
'time_4',0,-2,0,4028,4028,-4026,2,-2,0,'byte_500'
'time_4',0,4028,4028,-4026,2,-2,0,4028,4028,'byte_4500'
'time_5',4028,-4026,2,-2,0,4028,4028,-4028,0,'byte_4000'
'time_5',2,0,0,4028,4028,-4028,0,0,0,'byte_500'
'time_5',0,4028,4028,-4028,0,0,0,0,0,'byte_4500'
'time_5',4028,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_8500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_7500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_3000'
'time_6',0,0,0,0,0,0,0,3661,3661,'byte_8500'
'time_6',0,-3661,0,0,0,3661,3661,-3661,0,'byte_7500'
'time_6',0,0,0,3661,3661,-3661,0,3661,3661,'byte_4500'
'time_7',0,0,3661,-3661,0,3661,3661,-3661,0,'byte_4000'
'time_7',3661,0,0,3661,3661,-3661,0,4028,4028,'byte_4500'
'time_7',0,-367,3661,-3661,0,4028,4028,-366,3662,'byte_10000'
'time_7',3661,-3662,0,4028,4028,-366,3662,4393,8055,'byte_10000'
'time_7',0,-4027,4028,-366,3662,4393,8055,-8055,0,'byte_4000'
'time_7',4028,3662,3662,4393,8055,-8055,0,7327,7327,'byte_10000'
'time_8',3662,728,8055,-8055,0,7327,7327,-3299,4028,'byte_9000'
'time_8',8055,-4028,0,7327,7327,-3299,4028,-4028,0,'byte_3500'
'time_8',0,7327,7327,-3299,4028,-4028,0,4036,4036,'byte_8500'
'time_8',7327,-8,4028,-4028,0,4036,4036,-212,3824,'byte_4000'
'time_8',4028,-3824,0,4036,4036,-212,3824,-3824,0,'byte_8500'
'time_9',0,4036,4036,-212,3824,-3824,0,4028,4028,'byte_7500'
'time_9',4036,-204,3824,-3824,0,4028,4028,-3991,37,'byte_10000'
'time_9',3824,-37,0,4028,4028,-3991,37,7979,8016,'byte_10000'
'time_9',0,-3988,4028,-3991,37,7979,8016,-8008,8,'byte_10000'
'time_9',4028,29,37,7979,8016,-8008,8,-6,2,'byte_8500'
'time_9',37,8014,8016,-8008,8,-6,2,7319,7321,'byte_500'
'time_10',8016,-7313,8,-6,2,7319,7321,-4686,2635,'byte_500'
'time_10',8,-2633,2,7319,7321,-4686,2635,5421,8056,'byte_7500'
'time_10',2,-735,7321,-4686,2635,5421,8056,-733,7323,'byte_10000'
'time_10',7321,-4688,2635,5421,8056,-733,7323,-3293,4030,'byte_10000'
'time_10',2635,4026,8056,-733,7323,-3293,4030,-368,3662,'byte_8500'
'time_10',8056,3661,7323,-3293,4030,-368,3662,366,4028,'byte_8500'
'time_11',7323,2,4030,-368,3662,366,4028,6958,10986,'byte_500'
'time_11',4030,-7324,3662,366,4028,6958,10986,1097,12083,'byte_10000'
'time_11',3662,-8055,4028,6958,10986,1097,12083,-8418,3665,'byte_7500'
'time_11',4028,7321,10986,1097,12083,-8418,3665,8478,12143,'byte_10000'
'time_11',10986,-60,12083,-8418,3665,8478,12143,-3529,8614,'byte_10000'
'time_11',12083,-4949,3665,8478,12143,-3529,8614,-5460,3154,'byte_10000'
'time_12',3665,8989,12143,-3529,8614,-5460,3154,4908,8062,'byte_4500'
'time_12',12143,552,8614,-5460,3154,4908,8062,-4407,3655,'byte_500'
'time_12',8614,-501,3154,4908,8062,-4407,3655,4404,8059,'byte_8500'
'time_12',3154,3,8062,-4407,3655,4404,8059,-734,7325,'byte_4000'
'time_12',8062,-3670,3655,4404,8059,-734,7325,8788,16113,'byte_8500'
'time_13',3655,-8054,8059,-734,7325,8788,16113,-1467,14646,'byte_4000'
'time_13',8059,-7321,7325,8788,16113,-1467,14646,-2561,12085,'byte_10000'
'time_13',7325,4028,16113,-1467,14646,-2561,12085,-4029,8056,'byte_4500'
'time_13',16113,6590,14646,-2561,12085,-4029,8056,-8056,0,'byte_8500'
'time_13',14646,12085,12085,-4029,8056,-8056,0,179,179,'byte_9500'
'time_13',12085,7877,8056,-8056,0,179,179,7148,7327,'byte_500'
'time_14',8056,-7327,0,179,179,7148,7327,8782,16109,'byte_7500'
'time_14',0,-15930,179,7148,7327,8782,16109,-6116,9993,'byte_4500'
'time_14',179,-2666,7327,8782,16109,-6116,9993,-1937,8056,'byte_1000'
'time_14',7327,8053,16109,-6116,9993,-1937,8056,0,8056,'byte_3000'
'time_14',16109,1937,9993,-1937,8056,0,8056,-8052,4,'byte_10000'
'time_14',9993,8052,8056,0,8056,-8052,4,24163,24167,'byte_500'
'time_15',8056,-16111,8056,-8052,4,24163,24167,-16830,7337,'byte_7500'
'time_15',8056,-7333,4,24163,24167,-16830,7337,4736,12073,'byte_8500'
'time_15',4,12094,24167,-16830,7337,4736,12073,4961,17034,'byte_500'
'time_15',24167,-9697,7337,4736,12073,4961,17034,-4948,12086,'byte_4500'
'time_15',7337,-13,12073,4961,17034,-4948,12086,-8059,4027,'byte_10000'
'time_15',12073,13007,17034,-4948,12086,-8059,4027,-4027,0,'byte_4500'
'time_16',17034,12086,12086,-8059,4027,-4027,0,8055,8055,'byte_10000'
'time_16',12086,-4028,4027,-4027,0,8055,8055,-4389,3666,'byte_10000'
'time_16',4027,-3666,0,8055,8055,-4389,3666,4388,8054,'byte_7500'
'time_16',0,1,8055,-4389,3666,4388,8054,-4390,3664,'byte_8500'
'time_16',8055,2,3666,4388,8054,-4390,3664,6306,9970,'byte_7500'
'time_17',3666,-1916,8054,-4390,3664,6306,9970,-5939,4031,'byte_3000'
'time_17',8054,-367,3664,6306,9970,-5939,4031,4171,8202,'byte_4000'
'time_17',3664,1768,9970,-5939,4031,4171,8202,915,9117,'byte_8500'
'time_17',9970,-5086,4031,4171,8202,915,9117,-9117,0,'byte_7500'
'time_17',4031,8202,8202,915,9117,-9117,0,7329,7329,'byte_4500'
'time_17',8202,1788,9117,-9117,0,7329,7329,-3307,4022,'byte_10000'
'time_18',9117,-4022,0,7329,7329,-3307,4022,-3022,1000,'byte_4500'
'time_18',0,6329,7329,-3307,4022,-3022,1000,1754,2754,'byte_4500'
'time_18',7329,1268,4022,-3022,1000,1754,2754,9330,12084,'byte_500'
'time_18',4022,-11084,1000,1754,2754,9330,12084,-12084,0,'byte_500'
'time_18',1000,2754,2754,9330,12084,-12084,0,7327,7327,'byte_7500'
'time_18',2754,4757,12084,-12084,0,7327,7327,729,8056,'byte_10000'
'time_19',12084,-8056,0,7327,7327,729,8056,-8052,4,'byte_10000'
'time_19',0,7323,7327,729,8056,-8052,4,4024,4028,'byte_6000'
'time_19',7327,4028,8056,-8052,4,4024,4028,6872,10900,'byte_6000'
'time_19',8056,-10896,4,4024,4028,6872,10900,-6866,4034,'byte_6500'
'time_19',4,-6,4028,6872,10900,-6866,4034,6955,10989,'byte_500'
'time_19',4028,-89,10900,-6866,4034,6955,10989,1095,12084,'byte_3000'
'time_20',10900,-8050,4034,6955,10989,1095,12084,-4759,7325,'byte_7500'
'time_20',4034,3664,10989,1095,12084,-4759,7325,729,8054,'byte_10000'
'time_20',10989,4030,12084,-4759,7325,729,8054,-730,7324,'byte_500'
'time_20',12084,1,7325,729,8054,-730,7324,-4762,2562,'byte_4500'
'time_20',7325,5492,8054,-730,7324,-4762,2562,1102,3664,'byte_10000'
'time_21',8054,3660,7324,-4762,2562,1102,3664,4391,8055,'byte_500'
'time_21',7324,-5493,2562,1102,3664,4391,8055,-731,7324,'byte_10000'
'time_21',2562,-3660,3664,4391,8055,-731,7324,-3292,4032,'byte_7500'
'time_21',3664,4023,8055,-731,7324,-3292,4032,6954,10986,'byte_2000'
'time_21',8055,-3662,7324,-3292,4032,6954,10986,-6958,4028,'byte_8500'
'time_21',7324,4,4032,6954,10986,-6958,4028,0,4028,'byte_4000'
'time_22',4032,6958,10986,-6958,4028,0,4028,-4028,0,'byte_500'
'time_22',10986,4028,4028,0,4028,-4028,0,34,34,'byte_9000'
'time_22',4028,3994,4028,-4028,0,34,34,7291,7325,'byte_7500'
'time_22',4028,-7325,0,34,34,7291,7325,8785,16110,'byte_500'
'time_22',0,-16076,34,7291,7325,8785,16110,2199,18309,'byte_2000'
'time_22',34,-10984,7325,8785,16110,2199,18309,-12601,5708,'byte_2500'
'time_23',7325,10402,16110,2199,18309,-12601,5708,-43,5665,'byte_500'
'time_23',16110,12644,18309,-12601,5708,-43,5665,829,6494,'byte_4500'
'time_23',18309,-786,5708,-43,5665,829,6494,-6494,0,'byte_4000'
'time_23',5708,5665,5665,829,6494,-6494,0,2533,2533,'byte_500'
'time_23',5665,3961,6494,-6494,0,2533,2533,4745,7278,'byte_500'
