@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',19150,4030,4030,3293,7323,-3653,3670,8420,12090,-12066,24,3971,3995,'byte_7500'
'time_0',4030,3328,7323,-3653,3670,8420,12090,-12066,24,3971,3995,-635,3360,'byte_6000'
'time_0',7323,310,3670,8420,12090,-12066,24,3971,3995,-635,3360,305,3665,'byte_500'
'time_0',3670,8425,12090,-12066,24,3971,3995,-635,3360,305,3665,359,4024,'byte_4500'
'time_0',12090,-4000,24,3971,3995,-635,3360,305,3665,359,4024,-363,3661,'byte_500'
'time_0',24,334,3995,-635,3360,305,3665,359,4024,-363,3661,-3656,5,'byte_500'
'time_1',3995,3355,3360,305,3665,359,4024,-363,3661,-3656,5,-5,0,'byte_500'
'time_1',3360,3665,3665,359,4024,-363,3661,-3656,5,-5,0,4031,4031,'byte_500'
'time_1',3665,-7,4024,-363,3661,-3656,5,-5,0,4031,4031,-4031,0,'byte_500'
'time_1',4024,3661,3661,-3656,5,-5,0,4031,4031,-4031,0,12085,12085,'byte_4500'
'time_1',3661,-12080,5,-5,0,4031,4031,-4031,0,12085,12085,-8420,3665,'byte_500'
'time_1',5,-3665,0,4031,4031,-4031,0,12085,12085,-8420,3665,358,4023,'byte_500'
'time_2',0,8,4031,-4031,0,12085,12085,-8420,3665,358,4023,-3852,171,'byte_500'
'time_2',4031,-171,0,12085,12085,-8420,3665,358,4023,-3852,171,-171,0,'byte_4000'
'time_2',0,12085,12085,-8420,3665,358,4023,-3852,171,-171,0,0,0,'byte_500'
'time_2',12085,3665,3665,358,4023,-3852,171,-171,0,0,0,0,0,'byte_500'
'time_2',3665,4023,4023,-3852,171,-171,0,0,0,0,0,7323,7323,'byte_4500'
'time_3',4023,-7152,171,-171,0,0,0,0,0,7323,7323,-1379,5944,'byte_500'
'time_3',171,-5944,0,0,0,0,0,7323,7323,-1379,5944,-5944,0,'byte_500'
'time_3',0,0,0,0,0,7323,7323,-1379,5944,-5944,0,4027,4027,'byte_500'
'time_3',0,-4027,0,7323,7323,-1379,5944,-5944,0,4027,4027,-4027,0,'byte_500'
'time_3',0,7323,7323,-1379,5944,-5944,0,4027,4027,-4027,0,0,0,'byte_500'
'time_3',7323,5944,5944,-5944,0,4027,4027,-4027,0,0,0,4,4,'byte_500'
'time_4',5944,-4,0,4027,4027,-4027,0,0,0,4,4,-4,0,'byte_500'
'time_4',0,4027,4027,-4027,0,0,0,4,4,-4,0,0,0,'byte_500'
'time_4',4027,0,0,0,0,4,4,-4,0,0,0,4028,4028,'byte_500'
