@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',545,29299,29299,67496,96795,-67417,29378,67476,96854,-96497,357,116560,116917,'byte_10000'
'time_0',29299,-20122,96795,-67417,29378,67476,96854,-96497,357,116560,116917,-19709,97208,'byte_500'
'time_0',96795,-67830,29378,67476,96854,-96497,357,116560,116917,-19709,97208,-87815,9393,'byte_10000'
'time_0',29378,87461,96854,-96497,357,116560,116917,-19709,97208,-87815,9393,-9210,183,'byte_10000'
'time_0',96854,174,357,116560,116917,-19709,97208,-87815,9393,-9210,183,87604,87787,'byte_10000'
'time_0',357,29130,116917,-19709,97208,-87815,9393,-9210,183,87604,87787,-87553,234,'byte_10000'
'time_1',116917,96974,97208,-87815,9393,-9210,183,87604,87787,-87553,234,28955,29189,'byte_500'
'time_1',97208,-19796,9393,-9210,183,87604,87787,-87553,234,28955,29189,-29058,131,'byte_500'
'time_1',9393,52,183,87604,87787,-87553,234,28955,29189,-29058,131,29303,29434,'byte_10000'
'time_1',183,58353,87787,-87553,234,28955,29189,-29058,131,29303,29434,2518,31952,'byte_500'
'time_1',87787,-31718,234,28955,29189,-29058,131,29303,29434,2518,31952,-2465,29487,'byte_10000'
'time_1',234,-298,29189,-29058,131,29303,29434,2518,31952,-2465,29487,-146,29341,'byte_10000'
'time_2',29189,-29210,131,29303,29434,2518,31952,-2465,29487,-146,29341,-29341,0,'byte_500'
'time_2',131,29434,29434,2518,31952,-2465,29487,-146,29341,-29341,0,0,0,'byte_10000'
'time_2',29434,31952,31952,-2465,29487,-146,29341,-29341,0,0,0,32224,32224,'byte_10000'
'time_2',31952,-2737,29487,-146,29341,-29341,0,0,0,32224,32224,-32224,0,'byte_500'
'time_2',29487,29341,29341,-29341,0,0,0,32224,32224,-32224,0,32238,32238,'byte_500'
'time_2',29341,-32238,0,0,0,32224,32224,-32224,0,32238,32238,-2943,29295,'byte_10000'
'time_3',0,-29295,0,32224,32224,-32224,0,32238,32238,-2943,29295,-29295,0,'byte_500'
'time_3',0,32224,32224,-32224,0,32238,32238,-2943,29295,-29295,0,13811,13811,'byte_500'
'time_3',32224,-13811,0,32238,32238,-2943,29295,-29295,0,13811,13811,2928,16739,'byte_500'
'time_3',0,15499,32238,-2943,29295,-29295,0,13811,13811,2928,16739,-16739,0,'byte_500'
'time_3',32238,29295,29295,-29295,0,13811,13811,2928,16739,-16739,0,0,0,'byte_10000'
'time_4',29295,0,0,13811,13811,2928,16739,-16739,0,0,0,32224,32224,'byte_500'
'time_4',0,-18413,13811,2928,16739,-16739,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',13811,16739,16739,-16739,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',16739,0,0,0,0,32224,32224,-32224,0,0,0,13,13,'byte_500'
'time_4',0,-13,0,32224,32224,-32224,0,0,0,13,13,-13,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,13,13,-13,0,29295,29295,'byte_500'
'time_5',32224,-29295,0,0,0,13,13,-13,0,29295,29295,-29295,0,'byte_500'
'time_5',0,0,0,13,13,-13,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,13,13,-13,0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_5',13,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,32224,32224,-32224,0,0,0,32224,32224,'byte_10000'
'time_7',0,-32224,0,32224,32224,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_7',0,32224,32224,-32224,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',32224,0,0,0,0,32224,32224,-32224,0,0,0,58591,58591,'byte_500'
'time_7',0,-58591,0,32224,32224,-32224,0,0,0,58591,58591,-58566,25,'byte_10000'
'time_7',0,32199,32224,-32224,0,0,0,58591,58591,-58566,25,10598,10623,'byte_500'
'time_8',32224,-10623,0,0,0,58591,58591,-58566,25,10598,10623,9916,20539,'byte_10000'
'time_8',0,-20539,0,58591,58591,-58566,25,10598,10623,9916,20539,8756,29295,'byte_10000'
'time_8',0,29296,58591,-58566,25,10598,10623,9916,20539,8756,29295,-29295,0,'byte_500'
'time_8',58591,25,25,10598,10623,9916,20539,8756,29295,-29295,0,0,0,'byte_500'
'time_8',25,10623,10623,9916,20539,8756,29295,-29295,0,0,0,29295,29295,'byte_10000'
'time_8',10623,-8756,20539,8756,29295,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_9',20539,29295,29295,-29295,0,0,0,29295,29295,-29295,0,32238,32238,'byte_10000'
'time_9',29295,-32238,0,0,0,29295,29295,-29295,0,32238,32238,-2943,29295,'byte_500'
'time_9',0,-29295,0,29295,29295,-29295,0,32238,32238,-2943,29295,-29295,0,'byte_10000'
'time_9',0,29295,29295,-29295,0,32238,32238,-2943,29295,-29295,0,24,24,'byte_10000'
'time_9',29295,-24,0,32238,32238,-2943,29295,-29295,0,24,24,32174,32198,'byte_500'
'time_10',0,40,32238,-2943,29295,-29295,0,24,24,32174,32198,-32198,0,'byte_500'
'time_10',32238,29295,29295,-29295,0,24,24,32174,32198,-32198,0,32224,32224,'byte_10000'
'time_10',29295,-32224,0,24,24,32174,32198,-32198,0,32224,32224,-32224,0,'byte_1000'
'time_10',0,24,24,32174,32198,-32198,0,32224,32224,-32224,0,32238,32238,'byte_500'
'time_10',24,-40,32198,-32198,0,32224,32224,-32224,0,32238,32238,-2943,29295,'byte_10000'
'time_10',32198,-29295,0,32224,32224,-32224,0,32238,32238,-2943,29295,-29295,0,'byte_1000'
'time_11',0,32224,32224,-32224,0,32238,32238,-2943,29295,-29295,0,0,0,'byte_500'
'time_11',32224,0,0,32238,32238,-2943,29295,-29295,0,0,0,43280,43280,'byte_10000'
'time_11',0,-11042,32238,-2943,29295,-29295,0,0,0,43280,43280,-42392,888,'byte_500'
'time_11',32238,28407,29295,-29295,0,0,0,43280,43280,-42392,888,-853,35,'byte_500'
'time_11',29295,-35,0,0,0,43280,43280,-42392,888,-853,35,63741,63776,'byte_10000'
'time_11',0,-63776,0,43280,43280,-42392,888,-853,35,63741,63776,-63081,695,'byte_10000'
'time_12',0,42585,43280,-42392,888,-853,35,63741,63776,-63081,695,-695,0,'byte_10000'
'time_12',43280,888,888,-853,35,63741,63776,-63081,695,-695,0,64556,64556,'byte_500'
'time_12',888,-64521,35,63741,63776,-63081,695,-695,0,64556,64556,-64546,10,'byte_500'
'time_12',35,63766,63776,-63081,695,-695,0,64556,64556,-64546,10,-10,0,'byte_5500'
'time_12',63776,695,695,-695,0,64556,64556,-64546,10,-10,0,19737,19737,'byte_10000'
'time_13',695,-19737,0,64556,64556,-64546,10,-10,0,19737,19737,23788,43525,'byte_500'
'time_13',0,21031,64556,-64546,10,-10,0,19737,19737,23788,43525,-14108,29417,'byte_500'
'time_13',64556,-29407,10,-10,0,19737,19737,23788,43525,-14108,29417,-29367,50,'byte_500'
'time_13',10,-50,0,19737,19737,23788,43525,-14108,29417,-29367,50,293,343,'byte_500'
'time_13',0,19394,19737,23788,43525,-14108,29417,-29367,50,293,343,5041,5384,'byte_500'
'time_13',19737,38141,43525,-14108,29417,-29367,50,293,343,5041,5384,18381,23765,'byte_500'
'time_14',43525,5652,29417,-29367,50,293,343,5041,5384,18381,23765,-23423,342,'byte_500'
'time_14',29417,-292,50,293,343,5041,5384,18381,23765,-23423,342,-288,54,'byte_500'
'time_14',50,289,343,5041,5384,18381,23765,-23423,342,-288,54,107,161,'byte_500'
'time_14',343,5223,5384,18381,23765,-23423,342,-288,54,107,161,-156,5,'byte_500'
'time_14',5384,23760,23765,-23423,342,-288,54,107,161,-156,5,333,338,'byte_500'
'time_14',23765,4,342,-288,54,107,161,-156,5,333,338,156,494,'byte_1000'
'time_15',342,-440,54,107,161,-156,5,333,338,156,494,-290,204,'byte_500'
'time_15',54,-43,161,-156,5,333,338,156,494,-290,204,-197,7,'byte_500'
'time_15',161,-2,5,333,338,156,494,-290,204,-197,7,263,270,'byte_500'
'time_15',5,68,338,156,494,-290,204,-197,7,263,270,-2,268,'byte_500'
'time_15',338,226,494,-290,204,-197,7,263,270,-2,268,-246,22,'byte_1000'
'time_16',494,182,204,-197,7,263,270,-2,268,-246,22,511,533,'byte_1000'
'time_16',204,-526,7,263,270,-2,268,-246,22,511,533,-468,65,'byte_1000'
'time_16',7,205,270,-2,268,-246,22,511,533,-468,65,420,485,'byte_1000'
'time_16',270,-217,268,-246,22,511,533,-468,65,420,485,-382,103,'byte_1000'
'time_16',268,-81,22,511,533,-468,65,420,485,-382,103,318,421,'byte_500'
'time_16',22,112,533,-468,65,420,485,-382,103,318,421,422,843,'byte_500'
'time_17',533,-778,65,420,485,-382,103,318,421,422,843,-304,539,'byte_500'
'time_17',65,-54,485,-382,103,318,421,422,843,-304,539,150,689,'byte_500'
