@relation dataset_random10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',456,97288,97288,-9305,87983,-45522,42461,-10223,32238,'byte_10000'
'time_0',97288,55745,87983,-45522,42461,-10223,32238,-32144,94,'byte_500'
'time_0',87983,42367,42461,-10223,32238,-32144,94,74748,74842,'byte_500'
'time_0',42461,-42604,32238,-32144,94,74748,74842,-55066,19776,'byte_10000'
'time_0',32238,-19682,94,74748,74842,-55066,19776,-19695,81,'byte_500'
'time_0',94,74761,74842,-55066,19776,-19695,81,40584,40665,'byte_500'
'time_1',74842,-20889,19776,-19695,81,40584,40665,-8383,32282,'byte_10000'
'time_1',19776,-32201,81,40584,40665,-8383,32282,-32159,123,'byte_500'
'time_1',81,40542,40665,-8383,32282,-32159,123,58543,58666,'byte_500'
'time_1',40665,-26384,32282,-32159,123,58543,58666,-26427,32239,'byte_500'
'time_1',32282,-32116,123,58543,58666,-26427,32239,-19459,12780,'byte_500'
'time_1',123,45886,58666,-26427,32239,-19459,12780,34317,47097,'byte_500'
'time_2',58666,-14858,32239,-19459,12780,34317,47097,-47021,76,'byte_500'
'time_2',32239,12704,12780,34317,47097,-47021,76,58685,58761,'byte_500'
'time_2',12780,-11664,47097,-47021,76,58685,58761,-58746,15,'byte_500'
'time_2',47097,61,76,58685,58761,-58746,15,58654,58669,'byte_10000'
'time_2',76,92,58761,-58746,15,58654,58669,-58669,0,'byte_500'
'time_2',58761,15,15,58654,58669,-58669,0,29295,29295,'byte_500'
'time_3',15,29374,58669,-58669,0,29295,29295,-29295,0,'byte_500'
'time_3',58669,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_3',29295,0,0,0,0,0,0,32224,32224,'byte_500'
'time_3',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,32256,32256,'byte_500'
'time_4',32224,-32256,0,0,0,32256,32256,-32256,0,'byte_500'
'time_4',0,0,0,32256,32256,-32256,0,0,0,'byte_10000'
