@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',3659,4030,4030,-363,3667,500,4167,7920,12087,-1188,10899,1820,12719,'byte_500'
'time_0',4030,-9052,3667,500,4167,7920,12087,-1188,10899,1820,12719,-6001,6718,'byte_500'
'time_0',3667,-2551,4167,7920,12087,-1188,10899,1820,12719,-6001,6718,-3062,3656,'byte_500'
'time_0',4167,8431,12087,-1188,10899,1820,12719,-6001,6718,-3062,3656,5238,8894,'byte_500'
'time_0',12087,2005,10899,1820,12719,-6001,6718,-3062,3656,5238,8894,-5233,3661,'byte_500'
'time_0',10899,9058,12719,-6001,6718,-3062,3656,5238,8894,-5233,3661,12450,16111,'byte_500'
'time_1',12719,-9393,6718,-3062,3656,5238,8894,-5233,3661,12450,16111,-12447,3664,'byte_4000'
'time_1',6718,-8,3656,5238,8894,-5233,3661,12450,16111,-12447,3664,-3664,0,'byte_500'
'time_1',3656,8894,8894,-5233,3661,12450,16111,-12447,3664,-3664,0,10988,10988,'byte_500'
'time_1',8894,-7327,3661,12450,16111,-12447,3664,-3664,0,10988,10988,-2930,8058,'byte_500'
'time_1',3661,8053,16111,-12447,3664,-3664,0,10988,10988,-2930,8058,-4395,3663,'byte_500'
'time_1',16111,1,3664,-3664,0,10988,10988,-2930,8058,-4395,3663,363,4026,'byte_5500'
'time_2',3664,-4026,0,10988,10988,-2930,8058,-4395,3663,363,4026,-4004,22,'byte_500'
'time_2',0,10966,10988,-2930,8058,-4395,3663,363,4026,-4004,22,-22,0,'byte_4000'
'time_2',10988,8058,8058,-4395,3663,363,4026,-4004,22,-22,0,7325,7325,'byte_500'
'time_2',8058,-3662,3663,363,4026,-4004,22,-22,0,7325,7325,-7325,0,'byte_500'
'time_2',3663,4026,4026,-4004,22,-22,0,7325,7325,-7325,0,0,0,'byte_500'
'time_3',4026,22,22,-22,0,7325,7325,-7325,0,0,0,0,0,'byte_500'
'time_3',22,0,0,7325,7325,-7325,0,0,0,0,0,0,0,'byte_500'
'time_3',0,7325,7325,-7325,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',7325,0,0,0,0,0,0,0,0,0,0,0,0,'byte_2000'
'time_3',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,3661,3661,'byte_500'
'time_4',0,-3661,0,0,0,0,0,0,0,3661,3661,-3661,0,'byte_4500'
'time_4',0,0,0,0,0,0,0,3661,3661,-3661,0,0,0,'byte_500'
'time_4',0,0,0,0,0,3661,3661,-3661,0,0,0,0,0,'byte_8500'
'time_4',0,0,0,3661,3661,-3661,0,0,0,0,0,0,0,'byte_7500'
'time_4',0,3661,3661,-3661,0,0,0,0,0,0,0,5407,5407,'byte_500'
'time_4',3661,-5407,0,0,0,0,0,0,0,5407,5407,-5407,0,'byte_7500'
'time_5',0,0,0,0,0,0,0,5407,5407,-5407,0,3662,3662,'byte_8500'
'time_5',0,-3662,0,0,0,5407,5407,-5407,0,3662,3662,-3662,0,'byte_4000'
'time_5',0,0,0,5407,5407,-5407,0,3662,3662,-3662,0,0,0,'byte_4500'
'time_5',0,5407,5407,-5407,0,3662,3662,-3662,0,0,0,0,0,'byte_500'
'time_5',5407,0,0,3662,3662,-3662,0,0,0,0,0,0,0,'byte_3500'
'time_5',0,3662,3662,-3662,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',3662,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,1722,1722,'byte_4000'
'time_6',0,-1722,0,0,0,0,0,0,0,1722,1722,-1722,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,1722,1722,-1722,0,0,0,'byte_7500'
'time_6',0,0,0,0,0,1722,1722,-1722,0,0,0,4027,4027,'byte_500'
'time_7',0,-4027,0,1722,1722,-1722,0,0,0,4027,4027,-4023,4,'byte_500'
'time_7',0,1718,1722,-1722,0,0,0,4027,4027,-4023,4,8054,8058,'byte_500'
'time_7',1722,-8058,0,0,0,4027,4027,-4023,4,8054,8058,-734,7324,'byte_500'
'time_7',0,-7324,0,4027,4027,-4023,4,8054,8058,-734,7324,-7324,0,'byte_4500'
'time_7',0,4027,4027,-4023,4,8054,8058,-734,7324,-7324,0,7324,7324,'byte_7500'
'time_7',4027,-7320,4,8054,8058,-734,7324,-7324,0,7324,7324,731,8055,'byte_4500'
'time_8',4,3,8058,-734,7324,-7324,0,7324,7324,731,8055,-4393,3662,'byte_500'
'time_8',8058,3662,7324,-7324,0,7324,7324,731,8055,-4393,3662,373,4035,'byte_500'
'time_8',7324,-4035,0,7324,7324,731,8055,-4393,3662,373,4035,-3542,493,'byte_10000'
'time_8',0,6831,7324,731,8055,-4393,3662,373,4035,-3542,493,2986,3479,'byte_8500'
'time_8',7324,4576,8055,-4393,3662,373,4035,-3542,493,2986,3479,180,3659,'byte_2500'
'time_8',8055,3,3662,373,4035,-3542,493,2986,3479,180,3659,8424,12083,'byte_4000'
'time_9',3662,-8048,4035,-3542,493,2986,3479,180,3659,8424,12083,-8378,3705,'byte_7000'
'time_9',4035,-3212,493,2986,3479,180,3659,8424,12083,-8378,3705,285,3990,'byte_5000'
'time_9',493,-511,3479,180,3659,8424,12083,-8378,3705,285,3990,3333,7323,'byte_8500'
'time_9',3479,-3664,3659,8424,12083,-8378,3705,285,3990,3333,7323,-7323,0,'byte_7500'
'time_9',3659,12083,12083,-8378,3705,285,3990,3333,7323,-7323,0,6,6,'byte_4500'
'time_10',12083,3699,3705,285,3990,3333,7323,-7323,0,6,6,-6,0,'byte_7500'
'time_10',3705,3990,3990,3333,7323,-7323,0,6,6,-6,0,0,0,'byte_8500'
'time_10',3990,7323,7323,-7323,0,6,6,-6,0,0,0,4028,4028,'byte_10000'
'time_10',7323,-4028,0,6,6,-6,0,0,0,4028,4028,3303,7331,'byte_4500'
'time_10',0,-7325,6,-6,0,0,0,4028,4028,3303,7331,-3303,4028,'byte_500'
'time_10',6,-4028,0,0,0,4028,4028,3303,7331,-3303,4028,-4028,0,'byte_10000'
'time_11',0,0,0,4028,4028,3303,7331,-3303,4028,-4028,0,0,0,'byte_4000'
'time_11',0,4028,4028,3303,7331,-3303,4028,-4028,0,0,0,11521,11521,'byte_10000'
'time_11',4028,-4190,7331,-3303,4028,-4028,0,0,0,11521,11521,-3421,8100,'byte_9500'
'time_11',7331,-4072,4028,-4028,0,0,0,11521,11521,-3421,8100,-5864,2236,'byte_8500'
'time_11',4028,-2236,0,0,0,11521,11521,-3421,8100,-5864,2236,1427,3663,'byte_7500'
'time_11',0,-3663,0,11521,11521,-3421,8100,-5864,2236,1427,3663,3077,6740,'byte_4500'
'time_12',0,4781,11521,-3421,8100,-5864,2236,1427,3663,3077,6740,-1885,4855,'byte_10000'
'time_12',11521,3245,8100,-5864,2236,1427,3663,3077,6740,-1885,4855,3206,8061,'byte_10000'
'time_12',8100,-5825,2236,1427,3663,3077,6740,-1885,4855,3206,8061,-736,7325,'byte_4000'
'time_12',2236,-3662,3663,3077,6740,-1885,4855,3206,8061,-736,7325,-3295,4030,'byte_4500'
'time_12',3663,2710,6740,-1885,4855,3206,8061,-736,7325,-3295,4030,3295,7325,'byte_7500'
'time_12',6740,-2470,4855,3206,8061,-736,7325,-3295,4030,3295,7325,729,8054,'byte_10000'
'time_13',4855,7,8061,-736,7325,-3295,4030,3295,7325,729,8054,2936,10990,'byte_10000'
'time_13',8061,-3665,7325,-3295,4030,3295,7325,729,8054,2936,10990,-6965,4025,'byte_4500'
'time_13',7325,5,4030,3295,7325,729,8054,2936,10990,-6965,4025,-4025,0,'byte_4000'
'time_13',4030,7325,7325,729,8054,2936,10990,-6965,4025,-4025,0,16111,16111,'byte_1000'
'time_13',7325,-8057,8054,2936,10990,-6965,4025,-4025,0,16111,16111,-12290,3821,'byte_4000'
'time_14',8054,7169,10990,-6965,4025,-4025,0,16111,16111,-12290,3821,8267,12088,'byte_10000'
'time_14',10990,-8063,4025,-4025,0,16111,16111,-12290,3821,8267,12088,-2752,9336,'byte_4000'
'time_14',4025,-9336,0,16111,16111,-12290,3821,8267,12088,-2752,9336,-1280,8056,'byte_8500'
