@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',18397,0,0,607,607,16334,16941,-2515,14426,'byte_10000'
'time_0',0,-13819,607,16334,16941,-2515,14426,4780,19206,'byte_3000'
'time_0',607,-2265,16941,-2515,14426,4780,19206,-16704,2502,'byte_10000'
'time_0',16941,11924,14426,4780,19206,-16704,2502,19394,21896,'byte_6000'
'time_1',14426,-2690,19206,-16704,2502,19394,21896,-15950,5946,'byte_10000'
'time_1',19206,-3444,2502,19394,21896,-15950,5946,20740,26686,'byte_10000'
'time_1',2502,-4790,21896,-15950,5946,20740,26686,-7650,19036,'byte_7000'
'time_1',21896,-13090,5946,20740,26686,-7650,19036,-12466,6570,'byte_6500'
'time_1',5946,20116,26686,-7650,19036,-12466,6570,-251,6319,'byte_6000'
'time_1',26686,12717,19036,-12466,6570,-251,6319,-581,5738,'byte_7500'
'time_2',19036,832,6570,-251,6319,-581,5738,1563,7301,'byte_10000'
'time_2',6570,-982,6319,-581,5738,1563,7301,29629,36930,'byte_2500'
'time_2',6319,-31192,5738,1563,7301,29629,36930,-34829,2101,'byte_7000'
'time_2',5738,5200,7301,29629,36930,-34829,2101,4470,6571,'byte_10000'
'time_2',7301,30359,36930,-34829,2101,4470,6571,33501,40072,'byte_6000'
'time_2',36930,-37971,2101,4470,6571,33501,40072,-34308,5764,'byte_10000'
'time_3',2101,807,6571,33501,40072,-34308,5764,39147,44911,'byte_6500'
'time_3',6571,-4839,40072,-34308,5764,39147,44911,-38571,6340,'byte_2500'
'time_3',40072,-576,5764,39147,44911,-38571,6340,-4227,2113,'byte_10000'
'time_3',5764,42798,44911,-38571,6340,-4227,2113,8508,10621,'byte_10000'
'time_3',44911,-4281,6340,-4227,2113,8508,10621,43824,54445,'byte_6000'
'time_4',6340,-52332,2113,8508,10621,43824,54445,-48681,5764,'byte_10000'
'time_4',2113,4857,10621,43824,54445,-48681,5764,53312,59076,'byte_3000'
'time_4',10621,-4631,54445,-48681,5764,53312,59076,-56507,2569,'byte_2500'
'time_4',54445,3195,5764,53312,59076,-56507,2569,-444,2125,'byte_2500'
'time_4',5764,56951,59076,-56507,2569,-444,2125,203,2328,'byte_3000'
'time_4',59076,241,2569,-444,2125,203,2328,249,2577,'byte_2500'
'time_5',2569,-452,2125,203,2328,249,2577,-458,2119,'byte_2500'
'time_5',2125,209,2328,249,2577,-458,2119,213,2332,'byte_3000'
'time_5',2328,245,2577,-458,2119,213,2332,243,2575,'byte_2500'
'time_5',2577,-456,2119,213,2332,243,2575,-447,2128,'byte_2500'
'time_5',2119,204,2332,243,2575,-447,2128,207,2335,'byte_3000'
'time_5',2332,240,2575,-447,2128,207,2335,232,2567,'byte_2500'
'time_6',2575,-439,2128,207,2335,232,2567,-445,2122,'byte_2500'
'time_6',2128,213,2335,232,2567,-445,2122,208,2330,'byte_7000'
'time_6',2335,237,2567,-445,2122,208,2330,4257,6587,'byte_10000'
'time_6',2567,-4465,2122,208,2330,4257,6587,77884,84471,'byte_2500'
'time_6',2122,-82141,2330,4257,6587,77884,84471,-82152,2319,'byte_6000'
'time_6',2330,4268,6587,77884,84471,-82152,2319,3657,5976,'byte_10000'
'time_7',6587,78495,84471,-82152,2319,3657,5976,94135,100111,'byte_6500'
'time_7',84471,-97792,2319,3657,5976,94135,100111,-93748,6363,'byte_2500'
'time_7',2319,-387,5976,94135,100111,-93748,6363,-4037,2326,'byte_2000'
'time_7',5976,97785,100111,-93748,6363,-4037,2326,-457,1869,'byte_3500'
'time_7',100111,4494,6363,-4037,2326,-457,1869,1132,3001,'byte_2500'
'time_7',6363,-675,2326,-457,1869,1132,3001,-889,2112,'byte_10000'
'time_8',2326,-243,1869,1132,3001,-889,2112,113939,116051,'byte_3500'
'time_8',1869,-113050,3001,-889,2112,113939,116051,-113042,3009,'byte_4500'
'time_8',3001,-897,2112,113939,116051,-113042,3009,1063,4072,'byte_6000'
'time_8',2112,111979,116051,-113042,3009,1063,4072,1846,5918,'byte_10000'
'time_8',116051,-2909,3009,1063,4072,1846,5918,123938,129856,'byte_1000'
'time_9',3009,-125784,4072,1846,5918,123938,129856,-128976,880,'byte_2500'
'time_9',4072,5038,5918,123938,129856,-128976,880,1206,2086,'byte_10000'
'time_9',5918,127770,129856,-128976,880,1206,2086,129226,131312,'byte_2500'
'time_9',129856,-130432,880,1206,2086,129226,131312,-129018,2294,'byte_10000'
'time_9',880,-208,2086,129226,131312,-129018,2294,12092,14386,'byte_10000'
'time_9',2086,116926,131312,-129018,2294,12092,14386,111678,126064,'byte_6500'
'time_10',131312,-123770,2294,12092,14386,111678,126064,-119747,6317,'byte_3000'
'time_10',2294,8069,14386,111678,126064,-119747,6317,-3787,2530,'byte_10000'
'time_10',14386,123534,126064,-119747,6317,-3787,2530,130027,132557,'byte_10000'
'time_10',126064,-126240,6317,-3787,2530,130027,132557,-122219,10338,'byte_6000'
'time_10',6317,-7808,2530,130027,132557,-122219,10338,-4402,5936,'byte_10000'
'time_10',2530,126621,132557,-122219,10338,-4402,5936,146952,152888,'byte_6500'
'time_11',132557,-142550,10338,-4402,5936,146952,152888,-146424,6464,'byte_10000'
'time_11',10338,-528,5936,146952,152888,-146424,6464,151227,157691,'byte_10000'
'time_11',5936,-4803,152888,-146424,6464,151227,157691,-144413,13278,'byte_10000'
'time_11',152888,-6814,6464,151227,157691,-144413,13278,157269,170547,'byte_10000'
'time_11',6464,-12856,157691,-144413,13278,157269,170547,-1729,168818,'byte_6000'
'time_11',157691,-155540,13278,157269,170547,-1729,168818,-162885,5933,'byte_10000'
'time_12',13278,164614,170547,-1729,168818,-162885,5933,167851,173784,'byte_10000'
'time_12',170547,-4966,168818,-162885,5933,167851,173784,-161867,11917,'byte_10000'
'time_12',168818,-5984,5933,167851,173784,-161867,11917,170544,182461,'byte_9500'
'time_12',5933,-8677,173784,-161867,11917,170544,182461,-173059,9402,'byte_3000'
'time_12',173784,2515,11917,170544,182461,-173059,9402,-6622,2780,'byte_10000'
'time_13',11917,179681,182461,-173059,9402,-6622,2780,165904,168684,'byte_10000'
'time_13',182461,-159282,9402,-6622,2780,165904,168684,-158091,10593,'byte_2500'
'time_13',9402,-7813,2780,165904,168684,-158091,10593,-8318,2275,'byte_10000'
'time_13',2780,166409,168684,-158091,10593,-8318,2275,173066,175341,'byte_2500'
'time_13',168684,-164748,10593,-8318,2275,173066,175341,-173048,2293,'byte_9500'
'time_13',10593,-18,2275,173066,175341,-173048,2293,7108,9401,'byte_3000'
'time_14',2275,165940,175341,-173048,2293,7108,9401,-6862,2539,'byte_2500'
'time_14',175341,-246,2293,7108,9401,-6862,2539,-454,2085,'byte_10000'
'time_14',2293,7316,9401,-6862,2539,-454,2085,206734,208819,'byte_10000'
'time_14',9401,-206280,2539,-454,2085,206734,208819,-195508,13311,'byte_10000'
'time_14',2539,-11226,2085,206734,208819,-195508,13311,173563,186874,'byte_2500'
'time_14',2085,21945,208819,-195508,13311,173563,186874,-184583,2291,'byte_10000'
'time_15',208819,11020,13311,173563,186874,-184583,2291,14450,16741,'byte_10000'
'time_15',13311,170133,186874,-184583,2291,14450,16741,195936,212677,'byte_10000'
'time_15',186874,-210386,2291,14450,16741,195936,212677,-199626,13051,'byte_10000'
'time_15',2291,3690,16741,195936,212677,-199626,13051,-2392,10659,'byte_10000'
'time_15',16741,202018,212677,-199626,13051,-2392,10659,217064,227723,'byte_6000'
'time_15',212677,-214672,13051,-2392,10659,217064,227723,-221830,5893,'byte_10000'
'time_16',13051,4766,10659,217064,227723,-221830,5893,225693,231586,'byte_7000'
'time_16',10659,-3863,227723,-221830,5893,225693,231586,-224992,6594,'byte_3000'
'time_16',227723,-701,5893,225693,231586,-224992,6594,-4052,2542,'byte_6000'
'time_16',5893,229044,231586,-224992,6594,-4052,2542,3188,5730,'byte_10000'
'time_16',231586,864,6594,-4052,2542,3188,5730,234495,240225,'byte_8500'
'time_17',6594,-237683,2542,3188,5730,234495,240225,-231961,8264,'byte_10000'
'time_17',2542,-2534,5730,234495,240225,-231961,8264,16405,24669,'byte_10000'
'time_17',5730,215556,240225,-231961,8264,16405,24669,232646,257315,'byte_10000'
'time_17',240225,-249051,8264,16405,24669,232646,257315,-26435,230880,'byte_500'
'time_17',8264,-206211,24669,232646,257315,-26435,230880,-230787,93,'byte_3000'
'time_17',24669,257222,257315,-26435,230880,-230787,93,2411,2504,'byte_10000'
'time_18',257315,228376,230880,-230787,93,2411,2504,11886,14390,'byte_10000'
'time_18',230880,-14297,93,2411,2504,11886,14390,215729,230119,'byte_10000'
