@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7316,0,0,18320,18320,-18320,0,12085,12085,-12083,2,8053,8055,'byte_500'
'time_0',0,10265,18320,-18320,0,12085,12085,-12083,2,8053,8055,-4172,3883,'byte_500'
'time_0',18320,-3883,0,12085,12085,-12083,2,8053,8055,-4172,3883,6527,10410,'byte_500'
'time_0',0,1675,12085,-12083,2,8053,8055,-4172,3883,6527,10410,-6383,4027,'byte_500'
'time_0',12085,-4025,2,8053,8055,-4172,3883,6527,10410,-6383,4027,-365,3662,'byte_4500'
'time_0',2,4393,8055,-4172,3883,6527,10410,-6383,4027,-365,3662,-3662,0,'byte_500'
'time_1',8055,3883,3883,6527,10410,-6383,4027,-365,3662,-3662,0,10995,10995,'byte_500'
'time_1',3883,-585,10410,-6383,4027,-365,3662,-3662,0,10995,10995,-6629,4366,'byte_500'
'time_1',10410,-339,4027,-365,3662,-3662,0,10995,10995,-6629,4366,-4329,37,'byte_500'
'time_1',4027,3625,3662,-3662,0,10995,10995,-6629,4366,-4329,37,-37,0,'byte_500'
'time_1',3662,0,0,10995,10995,-6629,4366,-4329,37,-37,0,7327,7327,'byte_500'
'time_1',0,3668,10995,-6629,4366,-4329,37,-37,0,7327,7327,-3396,3931,'byte_500'
'time_2',10995,435,4366,-4329,37,-37,0,7327,7327,-3396,3931,-266,3665,'byte_500'
'time_2',4366,-3628,37,-37,0,7327,7327,-3396,3931,-266,3665,365,4030,'byte_500'
'time_2',37,-4030,0,7327,7327,-3396,3931,-266,3665,365,4030,3292,7322,'byte_500'
'time_2',0,5,7327,-3396,3931,-266,3665,365,4030,3292,7322,3283,10605,'byte_500'
'time_2',7327,-6674,3931,-266,3665,365,4030,3292,7322,3283,10605,-10605,0,'byte_3000'
'time_3',3931,3665,3665,365,4030,3292,7322,3283,10605,-10605,0,0,0,'byte_1000'
'time_3',3665,4030,4030,3292,7322,3283,10605,-10605,0,0,0,878,878,'byte_500'
'time_3',4030,6444,7322,3283,10605,-10605,0,0,0,878,878,-878,0,'byte_7500'
'time_3',7322,10605,10605,-10605,0,0,0,878,878,-878,0,7325,7325,'byte_4500'
'time_3',10605,-7325,0,0,0,878,878,-878,0,7325,7325,-7324,1,'byte_4000'
'time_3',0,-1,0,878,878,-878,0,7325,7325,-7324,1,-1,0,'byte_4500'
'time_4',0,878,878,-878,0,7325,7325,-7324,1,-1,0,0,0,'byte_500'
'time_4',878,0,0,7325,7325,-7324,1,-1,0,0,0,0,0,'byte_4500'
'time_4',0,7325,7325,-7324,1,-1,0,0,0,0,0,4027,4027,'byte_500'
'time_4',7325,-4026,1,-1,0,0,0,0,0,4027,4027,-3955,72,'byte_500'
'time_4',1,-72,0,0,0,0,0,4027,4027,-3955,72,-72,0,'byte_500'
'time_4',0,0,0,0,0,4027,4027,-3955,72,-72,0,0,0,'byte_8500'
'time_5',0,0,0,4027,4027,-3955,72,-72,0,0,0,0,0,'byte_7500'
'time_5',0,4027,4027,-3955,72,-72,0,0,0,0,0,0,0,'byte_4500'
'time_5',4027,72,72,-72,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_5',72,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_6000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_7000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,2980,2980,'byte_6000'
'time_6',0,-2980,0,0,0,0,0,0,0,2980,2980,-2231,749,'byte_4500'
'time_6',0,-749,0,0,0,0,0,2980,2980,-2231,749,-749,0,'byte_10000'
'time_7',0,0,0,0,0,2980,2980,-2231,749,-749,0,7324,7324,'byte_1000'
'time_7',0,-7324,0,2980,2980,-2231,749,-749,0,7324,7324,-3296,4028,'byte_500'
'time_7',0,-1048,2980,-2231,749,-749,0,7324,7324,-3296,4028,-365,3663,'byte_8500'
'time_7',2980,-2914,749,-749,0,7324,7324,-3296,4028,-365,3663,367,4030,'byte_4000'
'time_7',749,-4030,0,7324,7324,-3296,4028,-365,3663,367,4030,-4030,0,'byte_4500'
'time_7',0,7324,7324,-3296,4028,-365,3663,367,4030,-4030,0,4027,4027,'byte_10000'
'time_8',7324,1,4028,-365,3663,367,4030,-4030,0,4027,4027,-4026,1,'byte_4000'
'time_8',4028,3662,3663,367,4030,-4030,0,4027,4027,-4026,1,41,42,'byte_4500'
'time_8',3663,3988,4030,-4030,0,4027,4027,-4026,1,41,42,-38,4,'byte_4000'
'time_8',4030,-4,0,4027,4027,-4026,1,41,42,-38,4,8046,8050,'byte_4500'
'time_8',0,-4023,4027,-4026,1,41,42,-38,4,8046,8050,-726,7324,'byte_10000'
'time_8',4027,-7323,1,41,42,-38,4,8046,8050,-726,7324,-3296,4028,'byte_8500'
'time_9',1,-3986,42,-38,4,8046,8050,-726,7324,-3296,4028,-323,3705,'byte_10000'
'time_9',42,-3701,4,8046,8050,-726,7324,-3296,4028,-323,3705,323,4028,'byte_8500'
'time_9',4,4022,8050,-726,7324,-3296,4028,-323,3705,323,4028,-366,3662,'byte_7500'
'time_9',8050,3662,7324,-3296,4028,-323,3705,323,4028,-366,3662,1935,5597,'byte_10000'
'time_9',7324,-1569,4028,-323,3705,323,4028,-366,3662,1935,5597,-1930,3667,'byte_10000'
'time_10',4028,38,3705,323,4028,-366,3662,1935,5597,-1930,3667,3172,6839,'byte_10000'
'time_10',3705,-2811,4028,-366,3662,1935,5597,-1930,3667,3172,6839,-1053,5786,'byte_4000'
'time_10',4028,-2124,3662,1935,5597,-1930,3667,3172,6839,-1053,5786,-1755,4031,'byte_10000'
'time_10',3662,1566,5597,-1930,3667,3172,6839,-1053,5786,-1755,4031,6957,10988,'byte_7500'
'time_10',5597,-7321,3667,3172,6839,-1053,5786,-1755,4031,6957,10988,-10133,855,'byte_500'
'time_10',3667,5984,6839,-1053,5786,-1755,4031,6957,10988,-10133,855,-855,0,'byte_7500'
'time_11',6839,5786,5786,-1755,4031,6957,10988,-10133,855,-855,0,8056,8056,'byte_500'
'time_11',5786,-4025,4031,6957,10988,-10133,855,-855,0,8056,8056,-4392,3664,'byte_10000'
'time_11',4031,7324,10988,-10133,855,-855,0,8056,8056,-4392,3664,363,4027,'byte_10000'
'time_11',10988,-3172,855,-855,0,8056,8056,-4392,3664,363,4027,9438,13465,'byte_7500'
'time_11',855,-13465,0,8056,8056,-4392,3664,363,4027,9438,13465,-9804,3661,'byte_4500'
'time_11',0,4395,8056,-4392,3664,363,4027,9438,13465,-9804,3661,372,4033,'byte_500'
'time_12',8056,-369,3664,363,4027,9438,13465,-9804,3661,372,4033,-376,3657,'byte_500'
'time_12',3664,370,4027,9438,13465,-9804,3661,372,4033,-376,3657,546,4203,'byte_10000'
'time_12',4027,9262,13465,-9804,3661,372,4033,-376,3657,546,4203,6624,10827,'byte_10000'
'time_12',13465,-7166,3661,372,4033,-376,3657,546,4203,6624,10827,-2772,8055,'byte_7500'
'time_12',3661,-4022,4033,-376,3657,546,4203,6624,10827,-2772,8055,2931,10986,'byte_10000'
'time_12',4033,-7329,3657,546,4203,6624,10827,-2772,8055,2931,10986,-2932,8054,'byte_7500'
'time_13',3657,-3851,4203,6624,10827,-2772,8055,2931,10986,-2932,8054,-729,7325,'byte_4500'
'time_13',4203,3502,10827,-2772,8055,2931,10986,-2932,8054,-729,7325,4761,12086,'byte_10000'
'time_13',10827,-4031,8055,2931,10986,-2932,8054,-729,7325,4761,12086,6224,18310,'byte_10000'
'time_13',8055,-7324,10986,-2932,8054,-729,7325,4761,12086,6224,18310,-2195,16115,'byte_7500'
'time_13',10986,-8061,8054,-729,7325,4761,12086,6224,18310,-2195,16115,-12454,3661,'byte_1500'
'time_14',8054,3664,7325,4761,12086,6224,18310,-2195,16115,-12454,3661,6553,10214,'byte_7000'
'time_14',7325,1872,12086,6224,18310,-2195,16115,-12454,3661,6553,10214,-2889,7325,'byte_4500'
'time_14',12086,10985,18310,-2195,16115,-12454,3661,6553,10214,-2889,7325,-7322,3,'byte_7500'
'time_14',18310,16112,16115,-12454,3661,6553,10214,-2889,7325,-7322,3,7317,7320,'byte_500'
'time_14',16115,-3659,3661,6553,10214,-2889,7325,-7322,3,7317,7320,-7320,0,'byte_8500'
'time_14',3661,10214,10214,-2889,7325,-7322,3,7317,7320,-7320,0,14649,14649,'byte_500'
'time_15',10214,-7324,7325,-7322,3,7317,7320,-7320,0,14649,14649,-2563,12086,'byte_4500'
'time_15',7325,-12083,3,7317,7320,-7320,0,14649,14649,-2563,12086,-4762,7324,'byte_500'
'time_15',3,-4,7320,-7320,0,14649,14649,-2563,12086,-4762,7324,-3297,4027,'byte_8500'
'time_15',7320,-4027,0,14649,14649,-2563,12086,-4762,7324,-3297,4027,-3989,38,'byte_4000'
'time_15',0,14611,14649,-2563,12086,-4762,7324,-3297,4027,-3989,38,-38,0,'byte_500'
'time_15',14649,12086,12086,-4762,7324,-3297,4027,-3989,38,-38,0,18310,18310,'byte_500'
'time_16',12086,-10986,7324,-3297,4027,-3989,38,-38,0,18310,18310,-2192,16118,'byte_8500'
'time_16',7324,-12091,4027,-3989,38,-38,0,18310,18310,-2192,16118,-8794,7324,'byte_500'
'time_16',4027,-7286,38,-38,0,18310,18310,-2192,16118,-8794,7324,4761,12085,'byte_500'
'time_16',38,-12085,0,18310,18310,-2192,16118,-8794,7324,4761,12085,-4761,7324,'byte_500'
'time_16',0,10986,18310,-2192,16118,-8794,7324,4761,12085,-4761,7324,-3296,4028,'byte_500'
'time_17',18310,12090,16118,-8794,7324,4761,12085,-4761,7324,-3296,4028,13671,17699,'byte_3000'
'time_17',16118,-10375,7324,4761,12085,-4761,7324,-3296,4028,13671,17699,-1552,16147,'byte_9000'
'time_17',7324,-4062,12085,-4761,7324,-3296,4028,13671,17699,-1552,16147,-8823,7324,'byte_8500'
'time_17',12085,0,7324,-3296,4028,13671,17699,-1552,16147,-8823,7324,-6273,1051,'byte_10000'
'time_17',7324,2977,4028,13671,17699,-1552,16147,-8823,7324,-6273,1051,5848,6899,'byte_8500'
'time_17',4028,10800,17699,-1552,16147,-8823,7324,-6273,1051,5848,6899,-2792,4107,'byte_500'
'time_18',17699,12040,16147,-8823,7324,-6273,1051,5848,6899,-2792,4107,3218,7325,'byte_8500'
'time_18',16147,-1,7324,-6273,1051,5848,6899,-2792,4107,3218,7325,-7325,0,'byte_500'
'time_18',7324,1051,1051,5848,6899,-2792,4107,3218,7325,-7325,0,8058,8058,'byte_4500'
'time_18',1051,-1159,6899,-2792,4107,3218,7325,-7325,0,8058,8058,-8056,2,'byte_10000'
'time_18',6899,4105,4107,3218,7325,-7325,0,8058,8058,-8056,2,4030,4032,'byte_6500'
'time_18',4107,3293,7325,-7325,0,8058,8058,-8056,2,4030,4032,-4028,4,'byte_2000'
'time_19',7325,-4,0,8058,8058,-8056,2,4030,4032,-4028,4,8050,8054,'byte_500'
'time_19',0,4,8058,-8056,2,4030,4032,-4028,4,8050,8054,-4390,3664,'byte_7500'
'time_19',8058,-3662,2,4030,4032,-4028,4,8050,8054,-4390,3664,-3664,0,'byte_500'
'time_19',2,4032,4032,-4028,4,8050,8054,-4390,3664,-3664,0,0,0,'byte_10000'
'time_19',4032,4,4,8050,8054,-4390,3664,-3664,0,0,0,8056,8056,'byte_500'
'time_19',4,-2,8054,-4390,3664,-3664,0,0,0,8056,8056,-8056,0,'byte_10000'
'time_20',8054,3664,3664,-3664,0,0,0,8056,8056,-8056,0,0,0,'byte_500'
'time_20',3664,0,0,0,0,8056,8056,-8056,0,0,0,0,0,'byte_8500'
'time_20',0,0,0,8056,8056,-8056,0,0,0,0,0,0,0,'byte_4000'
'time_20',0,8056,8056,-8056,0,0,0,0,0,0,0,2559,2559,'byte_10000'
'time_20',8056,-2559,0,0,0,0,0,0,0,2559,2559,6100,8659,'byte_4500'
'time_21',0,-8659,0,0,0,0,0,2559,2559,6100,8659,-597,8062,'byte_4000'
'time_21',0,-8062,0,0,0,2559,2559,6100,8659,-597,8062,2099,10161,'byte_500'
'time_21',0,-10161,0,2559,2559,6100,8659,-597,8062,2099,10161,-2104,8057,'byte_10000'
'time_21',0,-5498,2559,6100,8659,-597,8062,2099,10161,-2104,8057,-8053,4,'byte_4500'
'time_21',2559,8655,8659,-597,8062,2099,10161,-2104,8057,-8053,4,8050,8054,'byte_500'
'time_21',8659,8,8062,2099,10161,-2104,8057,-8053,4,8050,8054,-8054,0,'byte_500'
'time_22',8062,10161,10161,-2104,8057,-8053,4,8050,8054,-8054,0,4028,4028,'byte_7500'
'time_22',10161,4029,8057,-8053,4,8050,8054,-8054,0,4028,4028,10621,14649,'byte_4000'
'time_22',8057,-14645,4,8050,8054,-8054,0,4028,4028,10621,14649,-8296,6353,'byte_4000'
'time_22',4,1701,8054,-8054,0,4028,4028,10621,14649,-8296,6353,-4804,1549,'byte_4500'
'time_22',8054,-1549,0,4028,4028,10621,14649,-8296,6353,-4804,1549,-1543,6,'byte_7500'
'time_22',0,4022,4028,10621,14649,-8296,6353,-4804,1549,-1543,6,7310,7316,'byte_10000'
'time_23',4028,7333,14649,-8296,6353,-4804,1549,-1543,6,7310,7316,-7316,0,'byte_500'
'time_23',14649,6353,6353,-4804,1549,-1543,6,7310,7316,-7316,0,18320,18320,'byte_500'
'time_23',6353,-16771,1549,-1543,6,7310,7316,-7316,0,18320,18320,-18320,0,'byte_1000'
'time_23',1549,6,6,7310,7316,-7316,0,18320,18320,-18320,0,12085,12085,'byte_500'
'time_23',6,-4769,7316,-7316,0,18320,18320,-18320,0,12085,12085,-12083,2,'byte_7500'
