@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1,16949,16949,13963,30912,7737,38649,-30911,7738,'byte_10000'
'time_0',16949,23174,30912,7737,38649,-30911,7738,1519,9257,'byte_4000'
'time_0',30912,29392,38649,-30911,7738,1519,9257,32285,41542,'byte_500'
'time_0',38649,-33804,7738,1519,9257,32285,41542,-10838,30704,'byte_10000'
'time_0',7738,-21447,9257,32285,41542,-10838,30704,-6642,24062,'byte_8500'
'time_0',9257,17480,41542,-10838,30704,-6642,24062,-22327,1735,'byte_4000'
'time_1',41542,28969,30704,-6642,24062,-22327,1735,8122,9857,'byte_8500'
'time_1',30704,14205,24062,-22327,1735,8122,9857,8705,18562,'byte_4000'
'time_1',24062,-16827,1735,8122,9857,8705,18562,-1869,16693,'byte_500'
'time_1',1735,-6836,9857,8705,18562,-1869,16693,7712,24405,'byte_4500'
'time_1',9857,-5843,18562,-1869,16693,7712,24405,-3403,21002,'byte_4000'
'time_1',18562,-4309,16693,7712,24405,-3403,21002,-12813,8189,'byte_500'
'time_2',16693,16216,24405,-3403,21002,-12813,8189,-3671,4518,'byte_4000'
'time_2',24405,16484,21002,-12813,8189,-3671,4518,27710,32228,'byte_500'
'time_2',21002,-24039,8189,-3671,4518,27710,32228,-13837,18391,'byte_500'
'time_2',8189,-13873,4518,27710,32228,-13837,18391,-14753,3638,'byte_500'
'time_2',4518,28590,32228,-13837,18391,-14753,3638,11012,14650,'byte_500'
'time_3',32228,3741,18391,-14753,3638,11012,14650,-8146,6504,'byte_8500'
'time_3',18391,-2866,3638,11012,14650,-8146,6504,8059,14563,'byte_4000'
'time_3',3638,87,14650,-8146,6504,8059,14563,-12482,2081,'byte_7500'
'time_3',14650,4423,6504,8059,14563,-12482,2081,8906,10987,'byte_8500'
'time_3',6504,3576,14563,-12482,2081,8906,10987,1098,12085,'byte_4000'
'time_3',14563,-10004,2081,8906,10987,1098,12085,-8420,3665,'byte_4500'
'time_4',2081,7322,10987,1098,12085,-8420,3665,-3663,2,'byte_10000'
'time_4',10987,12083,12085,-8420,3665,-3663,2,10987,10989,'byte_2500'
'time_4',12085,-7324,3665,-3663,2,10987,10989,-2930,8059,'byte_7500'
'time_4',3665,-8057,2,10987,10989,-2930,8059,-4399,3660,'byte_8500'
'time_4',2,7329,10989,-2930,8059,-4399,3660,4397,8057,'byte_10000'
'time_4',10989,2,8059,-4399,3660,4397,8057,-4392,3665,'byte_10000'
'time_5',8059,-5,3660,4397,8057,-4392,3665,-3665,0,'byte_7500'
'time_5',3660,8057,8057,-4392,3665,-3665,0,4028,4028,'byte_10000'
'time_5',8057,-363,3665,-3665,0,4028,4028,-451,3577,'byte_7500'
'time_5',3665,-3577,0,4028,4028,-451,3577,-3577,0,'byte_10000'
'time_5',0,4028,4028,-451,3577,-3577,0,3662,3662,'byte_4000'
'time_5',4028,-85,3577,-3577,0,3662,3662,-3662,0,'byte_4500'
'time_6',3577,0,0,3662,3662,-3662,0,1,1,'byte_10000'
'time_6',0,3661,3662,-3662,0,1,1,-1,0,'byte_10000'
'time_6',3662,0,0,1,1,-1,0,0,0,'byte_10000'
'time_6',0,1,1,-1,0,0,0,8056,8056,'byte_10000'
'time_6',1,-8056,0,0,0,8056,8056,-4394,3662,'byte_10000'
'time_7',0,-3662,0,8056,8056,-4394,3662,3718,7380,'byte_10000'
'time_7',0,676,8056,-4394,3662,3718,7380,674,8054,'byte_10000'
'time_7',8056,-4392,3662,3718,7380,674,8054,-4388,3666,'byte_10000'
'time_7',3662,3714,7380,674,8054,-4388,3666,363,4029,'byte_10000'
'time_7',7380,4025,8054,-4388,3666,363,4029,8355,12384,'byte_4500'
'time_7',8054,-8718,3666,363,4029,8355,12384,-9891,2493,'byte_10000'
'time_8',3666,1536,4029,8355,12384,-9891,2493,4831,7324,'byte_10000'
'time_8',4029,5060,12384,-9891,2493,4831,7324,732,8056,'byte_10000'
'time_8',12384,-5563,2493,4831,7324,732,8056,3093,11149,'byte_10000'
'time_8',2493,-3825,7324,732,8056,3093,11149,-704,10445,'byte_10000'
'time_8',7324,-2389,8056,3093,11149,-704,10445,-3034,7411,'byte_10000'
'time_8',8056,3738,11149,-704,10445,-3034,7411,4577,11988,'byte_3500'
'time_9',11149,-1543,10445,-3034,7411,4577,11988,-4668,7320,'byte_10000'
'time_9',10445,91,7411,4577,11988,-4668,7320,8793,16113,'byte_10000'
'time_9',7411,-4125,11988,-4668,7320,8793,16113,-12396,3717,'byte_10000'
'time_9',11988,3603,7320,8793,16113,-12396,3717,732,4449,'byte_1000'
'time_9',7320,11664,16113,-12396,3717,732,4449,17251,21700,'byte_10000'
'time_10',16113,-17983,3717,732,4449,17251,21700,-4082,17618,'byte_8000'
'time_10',3717,-13169,4449,17251,21700,-4082,17618,-6626,10992,'byte_1000'
