@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',338,39730,39730,-37277,2453,29931,32384,-32377,7,'byte_500'
'time_0',39730,2446,2453,29931,32384,-32377,7,117,124,'byte_500'
'time_0',2453,32260,32384,-32377,7,117,124,29220,29344,'byte_10000'
'time_0',32384,-29337,7,117,124,29220,29344,2775,32119,'byte_10000'
'time_0',7,-31995,124,29220,29344,2775,32119,-2627,29492,'byte_500'
'time_0',124,-148,29344,2775,32119,-2627,29492,-29492,0,'byte_500'
'time_1',29344,32119,32119,-2627,29492,-29492,0,29921,29921,'byte_500'
'time_1',32119,-429,29492,-29492,0,29921,29921,-29818,103,'byte_500'
'time_1',29492,-103,0,29921,29921,-29818,103,-38,65,'byte_500'
'time_1',0,29856,29921,-29818,103,-38,65,66340,66405,'byte_500'
'time_1',29921,-66302,103,-38,65,66340,66405,-66240,165,'byte_500'
'time_1',103,-100,65,66340,66405,-66240,165,58387,58552,'byte_500'
'time_2',65,7853,66405,-66240,165,58387,58552,-26255,32297,'byte_10000'
'time_2',66405,-32132,165,58387,58552,-26255,32297,-32197,100,'byte_500'
'time_2',165,58452,58552,-26255,32297,-32197,100,-100,0,'byte_500'
'time_2',58552,32297,32297,-32197,100,-100,0,207,207,'byte_500'
'time_2',32297,-107,100,-100,0,207,207,87583,87790,'byte_500'
'time_2',100,-87790,0,207,207,87583,87790,-87790,0,'byte_500'
'time_3',0,207,207,87583,87790,-87790,0,0,0,'byte_10000'
'time_3',207,87790,87790,-87790,0,0,0,0,0,'byte_500'
'time_3',87790,0,0,0,0,0,0,32250,32250,'byte_500'
'time_3',0,-32250,0,0,0,32250,32250,-32221,29,'byte_500'
'time_3',0,-29,0,32250,32250,-32221,29,-29,0,'byte_500'
'time_4',0,32250,32250,-32221,29,-29,0,32224,32224,'byte_500'
'time_4',32250,-32195,29,-29,0,32224,32224,-2935,29289,'byte_10000'
'time_4',29,-29289,0,32224,32224,-2935,29289,-29289,0,'byte_10000'
'time_4',0,32224,32224,-2935,29289,-29289,0,0,0,'byte_500'
'time_4',32224,29289,29289,-29289,0,0,0,0,0,'byte_500'
'time_4',29289,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_5',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,'byte_3000'
'time_6',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_6',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_7',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_7',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_7',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,32218,32218,'byte_500'
'time_8',0,-32218,0,0,0,32218,32218,-2923,29295,'byte_10000'
'time_8',0,-29295,0,32218,32218,-2923,29295,-29295,0,'byte_10000'
'time_8',0,32218,32218,-2923,29295,-29295,0,0,0,'byte_500'
'time_8',32218,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_8',29295,0,0,0,0,0,0,32218,32218,'byte_500'
'time_8',0,-32218,0,0,0,32218,32218,26378,58596,'byte_500'
'time_9',0,-58596,0,32218,32218,26378,58596,-46305,12291,'byte_10000'
'time_9',0,19927,32218,26378,58596,-46305,12291,5825,18116,'byte_10000'
'time_9',32218,40480,58596,-46305,12291,5825,18116,-18116,0,'byte_500'
'time_9',58596,12291,12291,5825,18116,-18116,0,18,18,'byte_10000'
'time_9',12291,18098,18116,-18116,0,18,18,2886,2904,'byte_10000'
'time_9',18116,-2904,0,18,18,2886,2904,90852,93756,'byte_10000'
'time_10',0,-93738,18,2886,2904,90852,93756,-35149,58607,'byte_500'
'time_10',18,-55703,2904,90852,93756,-35149,58607,-58607,0,'byte_500'
'time_10',2904,93756,93756,-35149,58607,-58607,0,29289,29289,'byte_1000'
'time_10',93756,29318,58607,-58607,0,29289,29289,-29282,7,'byte_500'
'time_10',58607,-7,0,29289,29289,-29282,7,29282,29289,'byte_500'
'time_10',0,0,29289,-29282,7,29282,29289,-29257,32,'byte_500'
'time_11',29289,-25,7,29282,29289,-29257,32,128814,128846,'byte_1000'
'time_11',7,-99557,29289,-29257,32,128814,128846,-99557,29289,'byte_500'
'time_11',29289,-29257,32,128814,128846,-99557,29289,-29276,13,'byte_500'
'time_11',32,128833,128846,-99557,29289,-29276,13,58600,58613,'byte_500'
'time_11',128846,-29324,29289,-29276,13,58600,58613,-26395,32218,'byte_500'
'time_11',29289,-32205,13,58600,58613,-26395,32218,-32218,0,'byte_500'
'time_12',13,58613,58613,-26395,32218,-32218,0,29289,29289,'byte_500'
