@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',8060,10858,10858,-9585,1273,2348,3621,-3502,119,10763,10882,-10882,0,'byte_500'
'time_0',10858,1273,1273,2348,3621,-3502,119,10763,10882,-10882,0,12087,12087,'byte_500'
'time_0',1273,-8466,3621,-3502,119,10763,10882,-10882,0,12087,12087,-1855,10232,'byte_500'
'time_0',3621,-10113,119,10763,10882,-10882,0,12087,12087,-1855,10232,-6197,4035,'byte_500'
'time_1',119,6847,10882,-10882,0,12087,12087,-1855,10232,-6197,4035,-371,3664,'byte_4500'
'time_1',10882,-3664,0,12087,12087,-1855,10232,-6197,4035,-371,3664,363,4027,'byte_4500'
'time_1',0,8060,12087,-1855,10232,-6197,4035,-371,3664,363,4027,-4026,1,'byte_4000'
'time_1',12087,10231,10232,-6197,4035,-371,3664,363,4027,-4026,1,-1,0,'byte_4500'
'time_1',10232,4035,4035,-371,3664,363,4027,-4026,1,-1,0,4027,4027,'byte_500'
'time_1',4035,-363,3664,363,4027,-4026,1,-1,0,4027,4027,1,4028,'byte_500'
'time_2',3664,-1,4027,-4026,1,-1,0,4027,4027,1,4028,3056,7084,'byte_500'
'time_2',4027,-7083,1,-1,0,4027,4027,1,4028,3056,7084,-6573,511,'byte_500'
'time_2',1,-511,0,4027,4027,1,4028,3056,7084,-6573,511,-511,0,'byte_4000'
'time_2',0,4027,4027,1,4028,3056,7084,-6573,511,-511,0,0,0,'byte_500'
'time_2',4027,4028,4028,3056,7084,-6573,511,-511,0,0,0,0,0,'byte_500'
'time_2',4028,7084,7084,-6573,511,-511,0,0,0,0,0,2406,2406,'byte_500'
'time_3',7084,-1895,511,-511,0,0,0,0,0,2406,2406,-2406,0,'byte_500'
'time_3',511,0,0,0,0,0,0,2406,2406,-2406,0,4,4,'byte_500'
'time_3',0,-4,0,0,0,2406,2406,-2406,0,4,4,-4,0,'byte_4000'
'time_3',0,0,0,2406,2406,-2406,0,4,4,-4,0,0,0,'byte_500'
'time_3',0,2406,2406,-2406,0,4,4,-4,0,0,0,4028,4028,'byte_500'
'time_4',2406,-4028,0,4,4,-4,0,0,0,4028,4028,0,4028,'byte_500'
'time_4',0,-4024,4,-4,0,0,0,4028,4028,0,4028,-366,3662,'byte_500'
'time_4',4,-3662,0,0,0,4028,4028,0,4028,-366,3662,365,4027,'byte_500'
'time_4',0,-4027,0,4028,4028,0,4028,-366,3662,365,4027,-4027,0,'byte_4500'
'time_4',0,4028,4028,0,4028,-366,3662,365,4027,-4027,0,0,0,'byte_4500'
'time_4',4028,4028,4028,-366,3662,365,4027,-4027,0,0,0,0,0,'byte_4000'
'time_5',4028,3662,3662,365,4027,-4027,0,0,0,0,0,0,0,'byte_500'
'time_5',3662,4027,4027,-4027,0,0,0,0,0,0,0,3662,3662,'byte_500'
'time_5',4027,-3662,0,0,0,0,0,0,0,3662,3662,-3662,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,3662,3662,-3662,0,0,0,'byte_7500'
'time_5',0,0,0,0,0,3662,3662,-3662,0,0,0,0,0,'byte_8500'
'time_5',0,0,0,3662,3662,-3662,0,0,0,0,0,0,0,'byte_500'
'time_6',0,3662,3662,-3662,0,0,0,0,0,0,0,0,0,'byte_7500'
'time_6',3662,0,0,0,0,0,0,0,0,0,0,3661,3661,'byte_8500'
'time_6',0,-3661,0,0,0,0,0,0,0,3661,3661,-3660,1,'byte_4000'
'time_6',0,-1,0,0,0,0,0,3661,3661,-3660,1,-1,0,'byte_500'
'time_6',0,0,0,0,0,3661,3661,-3660,1,-1,0,0,0,'byte_500'
'time_6',0,0,0,3661,3661,-3660,1,-1,0,0,0,0,0,'byte_4500'
'time_7',0,3661,3661,-3660,1,-1,0,0,0,0,0,0,0,'byte_500'
'time_7',3661,1,1,-1,0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_7',1,-4028,0,0,0,0,0,0,0,4028,4028,-1,4027,'byte_4500'
'time_7',0,-4027,0,0,0,0,0,4028,4028,-1,4027,-366,3661,'byte_500'
'time_7',0,-3661,0,0,0,4028,4028,-1,4027,-366,3661,-3661,0,'byte_10000'
'time_7',0,0,0,4028,4028,-1,4027,-366,3661,-3661,0,0,0,'byte_500'
'time_8',0,4028,4028,-1,4027,-366,3661,-3661,0,0,0,4078,4078,'byte_4500'
'time_8',4028,-51,4027,-366,3661,-3661,0,0,0,4078,4078,3199,7277,'byte_500'
'time_8',4027,-3616,3661,-3661,0,0,0,4078,4078,3199,7277,779,8056,'byte_10000'
'time_8',3661,-8056,0,0,0,4078,4078,3199,7277,779,8056,-8056,0,'byte_4500'
'time_8',0,0,0,4078,4078,3199,7277,779,8056,-8056,0,7325,7325,'byte_4000'
'time_9',0,-3247,4078,3199,7277,779,8056,-8056,0,7325,7325,729,8054,'byte_8500'
'time_9',4078,-777,7277,779,8056,-8056,0,7325,7325,729,8054,-4225,3829,'byte_10000'
'time_9',7277,4227,8056,-8056,0,7325,7325,729,8054,-4225,3829,-3829,0,'byte_8500'
'time_9',8056,0,0,7325,7325,729,8054,-4225,3829,-3829,0,0,0,'byte_500'
'time_9',0,7325,7325,729,8054,-4225,3829,-3829,0,0,0,4028,4028,'byte_10000'
'time_9',7325,4026,8054,-4225,3829,-3829,0,0,0,4028,4028,-4028,0,'byte_10000'
'time_10',8054,3829,3829,-3829,0,0,0,4028,4028,-4028,0,0,0,'byte_10000'
'time_10',3829,0,0,0,0,4028,4028,-4028,0,0,0,4080,4080,'byte_4500'
'time_10',0,-4080,0,4028,4028,-4028,0,0,0,4080,4080,-4080,0,'byte_10000'
'time_10',0,4028,4028,-4028,0,0,0,4080,4080,-4080,0,17082,17082,'byte_4500'
'time_10',4028,-17082,0,0,0,4080,4080,-4080,0,17082,17082,-17082,0,'byte_7500'
'time_10',0,0,0,4080,4080,-4080,0,17082,17082,-17082,0,4028,4028,'byte_4500'
'time_11',0,52,4080,-4080,0,17082,17082,-17082,0,4028,4028,-4028,0,'byte_10000'
'time_11',4080,0,0,17082,17082,-17082,0,4028,4028,-4028,0,12106,12106,'byte_500'
'time_11',0,4976,17082,-17082,0,4028,4028,-4028,0,12106,12106,-8078,4028,'byte_10000'
'time_11',17082,-4028,0,4028,4028,-4028,0,12106,12106,-8078,4028,-367,3661,'byte_7500'
'time_11',0,367,4028,-4028,0,12106,12106,-8078,4028,-367,3661,4395,8056,'byte_500'
'time_11',4028,-8056,0,12106,12106,-8078,4028,-367,3661,4395,8056,2928,10984,'byte_6000'
'time_12',0,1122,12106,-8078,4028,-367,3661,4395,8056,2928,10984,-2887,8097,'byte_10000'
'time_12',12106,-4069,4028,-367,3661,4395,8056,2928,10984,-2887,8097,-8097,0,'byte_10000'
'time_12',4028,3661,3661,4395,8056,2928,10984,-2887,8097,-8097,0,23152,23152,'byte_4500'
'time_12',3661,-15096,8056,2928,10984,-2887,8097,-8097,0,23152,23152,-5943,17209,'byte_1000'
'time_12',8056,-6225,10984,-2887,8097,-8097,0,23152,23152,-5943,17209,1010,18219,'byte_500'
'time_13',10984,-10122,8097,-8097,0,23152,23152,-5943,17209,1010,18219,-14006,4213,'byte_500'
'time_13',8097,-4213,0,23152,23152,-5943,17209,1010,18219,-14006,4213,6603,10816,'byte_9500'
'time_13',0,12336,23152,-5943,17209,1010,18219,-14006,4213,6603,10816,-6788,4028,'byte_6500'
'time_13',23152,13181,17209,1010,18219,-14006,4213,6603,10816,-6788,4028,3299,7327,'byte_10000'
