@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',8060,10858,10858,-9585,1273,2348,3621,-3502,119,'byte_500'
'time_0',10858,1154,1273,2348,3621,-3502,119,10763,10882,'byte_2500'
'time_0',1273,-7261,3621,-3502,119,10763,10882,-10882,0,'byte_500'
'time_0',3621,119,119,10763,10882,-10882,0,12087,12087,'byte_500'
'time_1',119,-1205,10882,-10882,0,12087,12087,-1855,10232,'byte_500'
'time_1',10882,-10232,0,12087,12087,-1855,10232,-6197,4035,'byte_500'
'time_1',0,8052,12087,-1855,10232,-6197,4035,-371,3664,'byte_4500'
'time_1',12087,6568,10232,-6197,4035,-371,3664,363,4027,'byte_4500'
'time_1',10232,8,4035,-371,3664,363,4027,-4026,1,'byte_4000'
'time_1',4035,3663,3664,363,4027,-4026,1,-1,0,'byte_4500'
'time_2',3664,4027,4027,-4026,1,-1,0,4027,4027,'byte_500'
'time_2',4027,-4026,1,-1,0,4027,4027,1,4028,'byte_500'
'time_2',1,-4028,0,4027,4027,1,4028,3056,7084,'byte_500'
'time_2',0,-3057,4027,1,4028,3056,7084,-6573,511,'byte_500'
'time_2',4027,3517,4028,3056,7084,-6573,511,-511,0,'byte_4000'
'time_2',4028,7084,7084,-6573,511,-511,0,0,0,'byte_500'
'time_3',7084,511,511,-511,0,0,0,0,0,'byte_500'
'time_3',511,0,0,0,0,0,0,2406,2406,'byte_500'
'time_3',0,-2406,0,0,0,2406,2406,-2406,0,'byte_500'
'time_3',0,0,0,2406,2406,-2406,0,4,4,'byte_500'
'time_3',0,2402,2406,-2406,0,4,4,-4,0,'byte_4000'
'time_4',2406,0,0,4,4,-4,0,0,0,'byte_500'
'time_4',0,4,4,-4,0,0,0,4028,4028,'byte_500'
'time_4',4,-4028,0,0,0,4028,4028,0,4028,'byte_500'
'time_4',0,-4028,0,4028,4028,0,4028,-366,3662,'byte_500'
'time_4',0,366,4028,0,4028,-366,3662,365,4027,'byte_500'
'time_4',4028,1,4028,-366,3662,365,4027,-4027,0,'byte_4500'
'time_5',4028,3662,3662,365,4027,-4027,0,0,0,'byte_4500'
'time_5',3662,4027,4027,-4027,0,0,0,0,0,'byte_4000'
'time_5',4027,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,3662,3662,'byte_500'
'time_5',0,-3662,0,0,0,3662,3662,-3662,0,'byte_4500'
'time_5',0,0,0,3662,3662,-3662,0,0,0,'byte_7500'
'time_6',0,3662,3662,-3662,0,0,0,0,0,'byte_8500'
'time_6',3662,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_7500'
'time_6',0,0,0,0,0,0,0,3661,3661,'byte_8500'
'time_6',0,-3661,0,0,0,3661,3661,-3660,1,'byte_4000'
'time_6',0,-1,0,3661,3661,-3660,1,-1,0,'byte_500'
'time_7',0,3661,3661,-3660,1,-1,0,0,0,'byte_500'
'time_7',3661,1,1,-1,0,0,0,0,0,'byte_4500'
'time_7',1,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_7',0,-4028,0,0,0,4028,4028,-1,4027,'byte_4500'
'time_7',0,-4027,0,4028,4028,-1,4027,-366,3661,'byte_500'
'time_8',0,367,4028,-1,4027,-366,3661,-3661,0,'byte_10000'
'time_8',4028,4027,4027,-366,3661,-3661,0,0,0,'byte_500'
'time_8',4027,3661,3661,-3661,0,0,0,4078,4078,'byte_4500'
'time_8',3661,-4078,0,0,0,4078,4078,3199,7277,'byte_500'
'time_8',0,-7277,0,4078,4078,3199,7277,779,8056,'byte_10000'
'time_9',0,-3978,4078,3199,7277,779,8056,-8056,0,'byte_4500'
'time_9',4078,7277,7277,779,8056,-8056,0,7325,7325,'byte_4000'
'time_9',7277,731,8056,-8056,0,7325,7325,729,8054,'byte_8500'
'time_9',8056,-8054,0,7325,7325,729,8054,-4225,3829,'byte_10000'
'time_9',0,3496,7325,729,8054,-4225,3829,-3829,0,'byte_8500'
'time_9',7325,8054,8054,-4225,3829,-3829,0,0,0,'byte_500'
'time_10',8054,3829,3829,-3829,0,0,0,4028,4028,'byte_10000'
'time_10',3829,-4028,0,0,0,4028,4028,-4028,0,'byte_10000'
'time_10',0,0,0,4028,4028,-4028,0,0,0,'byte_10000'
'time_10',0,4028,4028,-4028,0,0,0,4080,4080,'byte_4500'
'time_10',4028,-4080,0,0,0,4080,4080,-4080,0,'byte_10000'
'time_10',0,0,0,4080,4080,-4080,0,17082,17082,'byte_4500'
'time_11',0,-13002,4080,-4080,0,17082,17082,-17082,0,'byte_7500'
'time_11',4080,0,0,17082,17082,-17082,0,4028,4028,'byte_4500'
'time_11',0,13054,17082,-17082,0,4028,4028,-4028,0,'byte_10000'
'time_11',17082,0,0,4028,4028,-4028,0,12106,12106,'byte_500'
'time_11',0,-8078,4028,-4028,0,12106,12106,-8078,4028,'byte_10000'
'time_11',4028,-4028,0,12106,12106,-8078,4028,-367,3661,'byte_7500'
'time_12',0,8445,12106,-8078,4028,-367,3661,4395,8056,'byte_500'
'time_12',12106,-4028,4028,-367,3661,4395,8056,2928,10984,'byte_6000'
'time_12',4028,-7323,3661,4395,8056,2928,10984,-2887,8097,'byte_10000'
'time_12',3661,-41,8056,2928,10984,-2887,8097,-8097,0,'byte_10000'
'time_12',8056,10984,10984,-2887,8097,-8097,0,23152,23152,'byte_4500'
'time_13',10984,-15055,8097,-8097,0,23152,23152,-5943,17209,'byte_1000'
'time_13',8097,-17209,0,23152,23152,-5943,17209,1010,18219,'byte_500'
'time_13',0,4933,23152,-5943,17209,1010,18219,-14006,4213,'byte_500'
'time_13',23152,12996,17209,1010,18219,-14006,4213,6603,10816,'byte_9500'
'time_13',17209,7403,18219,-14006,4213,6603,10816,-6788,4028,'byte_6500'
'time_13',18219,185,4213,6603,10816,-6788,4028,3299,7327,'byte_10000'
'time_14',4213,3489,10816,-6788,4028,3299,7327,-3295,4032,'byte_8500'
'time_14',10816,-4,4028,3299,7327,-3295,4032,6948,10980,'byte_4500'
'time_14',4028,-3653,7327,-3295,4032,6948,10980,-10805,175,'byte_4000'
'time_14',7327,3857,4032,6948,10980,-10805,175,11908,12083,'byte_4500'
'time_14',4032,-1103,10980,-10805,175,11908,12083,-4758,7325,'byte_4000'
'time_14',10980,-7150,175,11908,12083,-4758,7325,-7319,6,'byte_1000'
'time_15',175,12077,12083,-4758,7325,-7319,6,5502,5508,'byte_8000'
'time_15',12083,1817,7325,-7319,6,5502,5508,4545,10053,'byte_500'
'time_15',7325,-10047,6,5502,5508,4545,10053,-341,9712,'byte_4000'
'time_15',6,-4204,5508,4545,10053,-341,9712,-5511,4201,'byte_500'
'time_15',5508,5852,10053,-341,9712,-5511,4201,-3447,754,'byte_500'
'time_15',10053,8958,9712,-5511,4201,-3447,754,-754,0,'byte_500'
'time_16',9712,4201,4201,-3447,754,-754,0,0,0,'byte_500'
'time_16',4201,754,754,-754,0,0,0,9115,9115,'byte_500'
'time_16',754,-9115,0,0,0,9115,9115,-3030,6085,'byte_4500'
'time_16',0,-6085,0,9115,9115,-3030,6085,3943,10028,'byte_7500'
'time_16',0,-913,9115,-3030,6085,3943,10028,-1970,8058,'byte_8500'
'time_17',9115,-1973,6085,3943,10028,-1970,8058,-4030,4028,'byte_500'
'time_17',6085,6000,10028,-1970,8058,-4030,4028,-365,3663,'byte_500'
'time_17',10028,4395,8058,-4030,4028,-365,3663,364,4027,'byte_500'
'time_17',8058,1,4028,-365,3663,364,4027,-361,3666,'byte_4500'
'time_17',4028,-3,3663,364,4027,-361,3666,-3165,501,'byte_7500'
'time_17',3663,3526,4027,-361,3666,-3165,501,7005,7506,'byte_8500'
'time_18',4027,-3840,3666,-3165,501,7005,7506,-7506,0,'byte_7500'
'time_18',3666,501,501,7005,7506,-7506,0,3662,3662,'byte_4500'
'time_18',501,3844,7506,-7506,0,3662,3662,-3662,0,'byte_4000'
'time_18',7506,0,0,3662,3662,-3662,0,0,0,'byte_8500'
'time_18',0,3662,3662,-3662,0,0,0,2,2,'byte_500'
'time_18',3662,-2,0,0,0,2,2,-2,0,'byte_7000'
'time_19',0,0,0,2,2,-2,0,0,0,'byte_10000'
'time_19',0,2,2,-2,0,0,0,4028,4028,'byte_7500'
'time_19',2,-4028,0,0,0,4028,4028,3294,7322,'byte_4500'
'time_19',0,-7322,0,4028,4028,3294,7322,734,8056,'byte_4000'
'time_19',0,-4028,4028,3294,7322,734,8056,-8052,4,'byte_500'
'time_19',4028,7318,7322,734,8056,-8052,4,-4,0,'byte_4000'
'time_20',7322,8056,8056,-8052,4,-4,0,0,0,'byte_4500'
'time_20',8056,4,4,-4,0,0,0,4028,4028,'byte_500'
'time_20',4,-4028,0,0,0,4028,4028,3294,7322,'byte_8500'
'time_20',0,-7322,0,4028,4028,3294,7322,740,8062,'byte_10000'
'time_20',0,-4034,4028,3294,7322,740,8062,-735,7327,'byte_1500'
'time_21',4028,-5,7322,740,8062,-735,7327,-3299,4028,'byte_4000'
'time_21',7322,4034,8062,-735,7327,-3299,4028,-367,3661,'byte_500'
'time_21',8062,3666,7327,-3299,4028,-367,3661,4398,8059,'byte_10000'
'time_21',7327,-4031,4028,-367,3661,4398,8059,-8059,0,'byte_500'
'time_21',4028,3661,3661,4398,8059,-8059,0,6542,6542,'byte_10000'
'time_21',3661,1517,8059,-8059,0,6542,6542,3029,9571,'byte_10000'
'time_22',8059,-9571,0,6542,6542,3029,9571,-2247,7324,'byte_4500'
'time_22',0,-782,6542,3029,9571,-2247,7324,-3295,4029,'byte_4000'
'time_22',6542,5542,9571,-2247,7324,-3295,4029,-368,3661,'byte_4500'
'time_22',9571,3663,7324,-3295,4029,-368,3661,-3617,44,'byte_500'
'time_22',7324,3985,4029,-368,3661,-3617,44,3579,3623,'byte_500'
'time_22',4029,38,3661,-3617,44,3579,3623,402,4025,'byte_4500'
'time_23',3661,-3981,44,3579,3623,402,4025,-4025,0,'byte_4500'
'time_23',44,3623,3623,402,4025,-4025,0,8060,8060,'byte_7500'
'time_23',3623,-4035,4025,-4025,0,8060,8060,2798,10858,'byte_1000'
'time_23',4025,-10858,0,8060,8060,2798,10858,-9585,1273,'byte_500'
'time_23',0,6787,8060,2798,10858,-9585,1273,2348,3621,'byte_500'
