@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4855,587819,587819,-537151,50668,576454,627122,45668,672790,-649628,23162,576207,599369,'byte_10000'
'time_0',587819,-548701,50668,576454,627122,45668,672790,-649628,23162,576207,599369,-78612,520757,'byte_10000'
'time_0',50668,106365,627122,45668,672790,-649628,23162,576207,599369,-78612,520757,-437905,82852,'byte_10000'
'time_0',627122,589938,672790,-649628,23162,576207,599369,-78612,520757,-437905,82852,521766,604618,'byte_10000'
'time_0',672790,-581456,23162,576207,599369,-78612,520757,-437905,82852,521766,604618,-581961,22657,'byte_10000'
'time_0',23162,576712,599369,-78612,520757,-437905,82852,521766,604618,-581961,22657,318726,341383,'byte_10000'
'time_1',599369,179374,520757,-437905,82852,521766,604618,-581961,22657,318726,341383,-23962,317421,'byte_10000'
'time_1',520757,-234569,82852,521766,604618,-581961,22657,318726,341383,-23962,317421,300591,618012,'byte_10000'
'time_1',82852,-13394,604618,-581961,22657,318726,341383,-23962,317421,300591,618012,-116307,501705,'byte_500'
'time_1',604618,-479048,22657,318726,341383,-23962,317421,300591,618012,-116307,501705,-18064,483641,'byte_10000'
'time_1',22657,-142258,341383,-23962,317421,300591,618012,-116307,501705,-18064,483641,-357079,126562,'byte_10000'
'time_1',341383,190859,317421,300591,618012,-116307,501705,-18064,483641,-357079,126562,-44897,81665,'byte_1500'
'time_2',317421,536347,618012,-116307,501705,-18064,483641,-357079,126562,-44897,81665,240664,322329,'byte_10000'
'time_2',618012,179376,501705,-18064,483641,-357079,126562,-44897,81665,240664,322329,-117184,205145,'byte_1000'
'time_2',501705,278496,483641,-357079,126562,-44897,81665,240664,322329,-117184,205145,-205126,19,'byte_10000'
'time_2',483641,126543,126562,-44897,81665,240664,322329,-117184,205145,-205126,19,31925,31944,'byte_500'
'time_2',126562,49721,81665,240664,322329,-117184,205145,-205126,19,31925,31944,161475,193419,'byte_10000'
'time_2',81665,128910,322329,-117184,205145,-205126,19,31925,31944,161475,193419,-192144,1275,'byte_10000'
'time_3',322329,203870,205145,-205126,19,31925,31944,161475,193419,-192144,1275,141431,142706,'byte_10000'
'time_3',205145,-142687,19,31925,31944,161475,193419,-192144,1275,141431,142706,-142080,626,'byte_10000'
'time_3',19,31318,31944,161475,193419,-192144,1275,141431,142706,-142080,626,120310,120936,'byte_500'
'time_3',31944,72483,193419,-192144,1275,141431,142706,-142080,626,120310,120936,-120620,316,'byte_10000'
'time_3',193419,959,1275,141431,142706,-142080,626,120310,120936,-120620,316,116904,117220,'byte_500'
'time_4',1275,25486,142706,-142080,626,120310,120936,-120620,316,116904,117220,-49819,67401,'byte_10000'
'time_4',142706,-66775,626,120310,120936,-120620,316,116904,117220,-49819,67401,-40770,26631,'byte_5000'
'time_4',626,94305,120936,-120620,316,116904,117220,-49819,67401,-40770,26631,37847,64478,'byte_500'
'time_4',120936,-64162,316,116904,117220,-49819,67401,-40770,26631,37847,64478,-64456,22,'byte_500'
'time_4',316,117198,117220,-49819,67401,-40770,26631,37847,64478,-64456,22,64442,64464,'byte_500'
'time_4',117220,2937,67401,-40770,26631,37847,64478,-64456,22,64442,64464,-64464,0,'byte_500'
'time_5',67401,26631,26631,37847,64478,-64456,22,64442,64464,-64464,0,27109,27109,'byte_10000'
'time_5',26631,37369,64478,-64456,22,64442,64464,-64464,0,27109,27109,-22452,4657,'byte_10000'
'time_5',64478,-4635,22,64442,64464,-64464,0,27109,27109,-22452,4657,-4657,0,'byte_10000'
'time_5',22,64464,64464,-64464,0,27109,27109,-22452,4657,-4657,0,0,0,'byte_10000'
'time_5',64464,0,0,27109,27109,-22452,4657,-4657,0,0,0,0,0,'byte_10000'
'time_5',0,27109,27109,-22452,4657,-4657,0,0,0,0,0,0,0,'byte_4500'
'time_6',27109,4657,4657,-4657,0,0,0,0,0,0,0,64464,64464,'byte_10000'
'time_6',4657,-64464,0,0,0,0,0,0,0,64464,64464,-5847,58617,'byte_10000'
'time_6',0,-58617,0,0,0,0,0,64464,64464,-5847,58617,-26400,32217,'byte_10000'
'time_6',0,-32217,0,0,0,64464,64464,-5847,58617,-26400,32217,26400,58617,'byte_10000'
'time_6',0,-58617,0,64464,64464,-5847,58617,-26400,32217,26400,58617,-29329,29288,'byte_10000'
'time_7',0,35176,64464,-5847,58617,-26400,32217,26400,58617,-29329,29288,-24841,4447,'byte_10000'
'time_7',64464,54170,58617,-26400,32217,26400,58617,-29329,29288,-24841,4447,108061,112508,'byte_10000'
'time_7',58617,-80291,32217,26400,58617,-29329,29288,-24841,4447,108061,112508,-78116,34392,'byte_500'
'time_7',32217,24225,58617,-29329,29288,-24841,4447,108061,112508,-78116,34392,-21646,12746,'byte_2000'
'time_7',58617,16542,29288,-24841,4447,108061,112508,-78116,34392,-21646,12746,245536,258282,'byte_10000'
'time_7',29288,-253835,4447,108061,112508,-78116,34392,-21646,12746,245536,258282,-247491,10791,'byte_9500'
'time_8',4447,101717,112508,-78116,34392,-21646,12746,245536,258282,-247491,10791,22828,33619,'byte_500'
'time_8',112508,773,34392,-21646,12746,245536,258282,-247491,10791,22828,33619,12503,46122,'byte_4000'
'time_8',34392,-33376,12746,245536,258282,-247491,10791,22828,33619,12503,46122,-46074,48,'byte_10000'
'time_8',12746,258234,258282,-247491,10791,22828,33619,12503,46122,-46074,48,1473,1521,'byte_9500'
'time_8',258282,9270,10791,22828,33619,12503,46122,-46074,48,1473,1521,311630,313151,'byte_10000'
'time_8',10791,-279532,33619,12503,46122,-46074,48,1473,1521,311630,313151,-303981,9170,'byte_10000'
'time_9',33619,36952,46122,-46074,48,1473,1521,311630,313151,-303981,9170,-9062,108,'byte_10000'
'time_9',46122,-60,48,1473,1521,311630,313151,-303981,9170,-9062,108,3853,3961,'byte_10000'
'time_9',48,-2440,1521,311630,313151,-303981,9170,-9062,108,3853,3961,340387,344348,'byte_1000'
'time_9',1521,-31197,313151,-303981,9170,-9062,108,3853,3961,340387,344348,-334964,9384,'byte_10000'
'time_9',313151,-214,9170,-9062,108,3853,3961,340387,344348,-334964,9384,345220,354604,'byte_1500'
'time_10',9170,-354496,108,3853,3961,340387,344348,-334964,9384,345220,354604,-110511,244093,'byte_10000'
'time_10',108,-240132,3961,340387,344348,-334964,9384,345220,354604,-110511,244093,-93805,150288,'byte_10000'
'time_10',3961,194060,344348,-334964,9384,345220,354604,-110511,244093,-93805,150288,205349,355637,'byte_10000'
'time_10',344348,-346253,9384,345220,354604,-110511,244093,-93805,150288,205349,355637,-355125,512,'byte_10000'
'time_10',9384,354092,354604,-110511,244093,-93805,150288,205349,355637,-355125,512,20908,21420,'byte_10000'
'time_10',354604,222673,244093,-93805,150288,205349,355637,-355125,512,20908,21420,-20157,1263,'byte_6500'
'time_11',244093,149025,150288,205349,355637,-355125,512,20908,21420,-20157,1263,153313,154576,'byte_10000'
'time_11',150288,201061,355637,-355125,512,20908,21420,-20157,1263,153313,154576,-46609,107967,'byte_10000'
'time_11',355637,-107455,512,20908,21420,-20157,1263,153313,154576,-46609,107967,569615,677582,'byte_10000'
'time_11',512,-656162,21420,-20157,1263,153313,154576,-46609,107967,569615,677582,-664007,13575,'byte_10000'
'time_11',21420,-12312,1263,153313,154576,-46609,107967,569615,677582,-664007,13575,671525,685100,'byte_10000'
'time_11',1263,-530524,154576,-46609,107967,569615,677582,-664007,13575,671525,685100,-678913,6187,'byte_10000'
'time_12',154576,101780,107967,569615,677582,-664007,13575,671525,685100,-678913,6187,504888,511075,'byte_10000'
'time_12',107967,166507,677582,-664007,13575,671525,685100,-678913,6187,504888,511075,-407774,103301,'byte_10000'
'time_12',677582,-89726,13575,671525,685100,-678913,6187,504888,511075,-407774,103301,424104,527405,'byte_10000'
'time_12',13575,157695,685100,-678913,6187,504888,511075,-407774,103301,424104,527405,-211751,315654,'byte_10000'
'time_12',685100,-309467,6187,504888,511075,-407774,103301,424104,527405,-211751,315654,-215609,100045,'byte_10000'
'time_13',6187,411030,511075,-407774,103301,424104,527405,-211751,315654,-215609,100045,292779,392824,'byte_8500'
'time_13',511075,-289523,103301,424104,527405,-211751,315654,-215609,100045,292779,392824,-176536,216288,'byte_1500'
'time_13',103301,311117,527405,-211751,315654,-215609,100045,292779,392824,-176536,216288,349640,565928,'byte_7500'
'time_13',527405,-250274,315654,-215609,100045,292779,392824,-176536,216288,349640,565928,-50723,515205,'byte_1000'
'time_13',315654,-415160,100045,292779,392824,-176536,216288,349640,565928,-50723,515205,-209480,305725,'byte_500'
'time_13',100045,87099,392824,-176536,216288,349640,565928,-50723,515205,-209480,305725,-276648,29077,'byte_1000'
'time_14',392824,187211,216288,349640,565928,-50723,515205,-209480,305725,-276648,29077,-20769,8308,'byte_7500'
'time_14',216288,557620,565928,-50723,515205,-209480,305725,-276648,29077,-20769,8308,-7305,1003,'byte_1000'
'time_14',565928,514202,515205,-209480,305725,-276648,29077,-20769,8308,-7305,1003,6170,7173,'byte_1000'
'time_14',515205,298552,305725,-276648,29077,-20769,8308,-7305,1003,6170,7173,-6361,812,'byte_2000'
'time_14',305725,28265,29077,-20769,8308,-7305,1003,6170,7173,-6361,812,-688,124,'byte_9500'
'time_14',29077,8184,8308,-7305,1003,6170,7173,-6361,812,-688,124,668,792,'byte_1000'
'time_15',8308,211,1003,6170,7173,-6361,812,-688,124,668,792,6286,7078,'byte_9000'
'time_15',1003,95,7173,-6361,812,-688,124,668,792,6286,7078,-6211,867,'byte_9000'
'time_15',7173,-55,812,-688,124,668,792,6286,7078,-6211,867,-153,714,'byte_2000'
'time_15',812,-590,124,668,792,6286,7078,-6211,867,-153,714,1070,1784,'byte_2000'
'time_15',124,-992,792,6286,7078,-6211,867,-153,714,1070,1784,7331,9115,'byte_500'
'time_16',792,-2037,7078,-6211,867,-153,714,1070,1784,7331,9115,-8502,613,'byte_10000'
'time_16',7078,254,867,-153,714,1070,1784,7331,9115,-8502,613,8301,8914,'byte_4000'
'time_16',867,-8200,714,1070,1784,7331,9115,-8502,613,8301,8914,-104,8810,'byte_10000'
'time_16',714,-7026,1784,7331,9115,-8502,613,8301,8914,-104,8810,-6837,1973,'byte_9500'
'time_16',1784,7142,9115,-8502,613,8301,8914,-104,8810,-6837,1973,-436,1537,'byte_4500'
'time_16',9115,-924,613,8301,8914,-104,8810,-6837,1973,-436,1537,-1047,490,'byte_10000'
'time_17',613,8424,8914,-104,8810,-6837,1973,-436,1537,-1047,490,11234,11724,'byte_4500'
'time_17',8914,-2914,8810,-6837,1973,-436,1537,-1047,490,11234,11724,-7829,3895,'byte_500'
'time_17',8810,-1922,1973,-436,1537,-1047,490,11234,11724,-7829,3895,8217,12112,'byte_10000'
'time_17',1973,-10575,1537,-1047,490,11234,11724,-7829,3895,8217,12112,-2836,9276,'byte_10000'
'time_17',1537,-8786,490,11234,11724,-7829,3895,8217,12112,-2836,9276,-5257,4019,'byte_1500'
'time_18',490,7705,11724,-7829,3895,8217,12112,-2836,9276,-5257,4019,7873,11892,'byte_10000'
'time_18',11724,-7997,3895,8217,12112,-2836,9276,-5257,4019,7873,11892,-7579,4313,'byte_3000'
'time_18',3895,7799,12112,-2836,9276,-5257,4019,7873,11892,-7579,4313,-4192,121,'byte_500'
'time_18',12112,9155,9276,-5257,4019,7873,11892,-7579,4313,-4192,121,11863,11984,'byte_500'
'time_18',9276,-7965,4019,7873,11892,-7579,4313,-4192,121,11863,11984,-1920,10064,'byte_10000'
'time_18',4019,1828,11892,-7579,4313,-4192,121,11863,11984,-1920,10064,-8864,1200,'byte_10000'
'time_19',11892,3113,4313,-4192,121,11863,11984,-1920,10064,-8864,1200,8798,9998,'byte_10000'
