@relation dataset_day_3
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',599,87957,32236,74696,29599,'byte_10000'
'time_0',87957,32236,74696,29599,32394,'byte_500'
'time_0',32236,74696,29599,32394,254,'byte_500'
'time_0',74696,29599,32394,254,204,'byte_10000'
'time_0',29599,32394,254,204,58054,'byte_500'
'time_0',32394,254,204,58054,393,'byte_500'
'time_1',254,204,58054,393,263,'byte_500'
'time_1',204,58054,393,263,15,'byte_10000'
'time_1',58054,393,263,15,29425,'byte_10000'
'time_1',393,263,15,29425,32224,'byte_0'
'time_1',263,15,29425,32224,0,'byte_500'
'time_1',15,29425,32224,0,229,'byte_10000'
'time_2',29425,32224,0,229,58472,'byte_10000'
'time_2',32224,0,229,58472,32296,'byte_10000'
'time_2',0,229,58472,32296,29230,'byte_500'
'time_2',229,58472,32296,29230,50,'byte_0'
'time_2',58472,32296,29230,50,0,'byte_10000'
'time_2',32296,29230,50,0,32224,'byte_0'
'time_3',29230,50,0,32224,0,'byte_10000'
'time_3',50,0,32224,0,29307,'byte_10000'
'time_3',0,32224,0,29307,32224,'byte_0'
'time_3',32224,0,29307,32224,0,'byte_10000'
'time_3',0,29307,32224,0,58590,'byte_0'
'time_4',29307,32224,0,58590,0,'byte_0'
'time_4',32224,0,58590,0,0,'byte_10000'
'time_4',0,58590,0,0,32224,'byte_0'
'time_4',58590,0,0,32224,0,'byte_0'
'time_4',0,0,32224,0,0,'byte_10000'
'time_4',0,32224,0,0,32224,'byte_0'
'time_5',32224,0,0,32224,0,'byte_0'
'time_5',0,0,32224,0,0,'byte_0'
'time_5',0,32224,0,0,0,'byte_0'
'time_5',32224,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,29295,'byte_0'
'time_5',0,0,0,29295,0,'byte_0'
'time_6',0,0,29295,0,0,'byte_0'
'time_6',0,29295,0,0,0,'byte_0'
