@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',16114,14028,14028,-13374,654,10332,10986,-6901,4085,3245,7330,-6560,770,'byte_7500'
'time_0',14028,-116,654,10332,10986,-6901,4085,3245,7330,-6560,770,2482,3252,'byte_500'
'time_0',654,7734,10986,-6901,4085,3245,7330,-6560,770,2482,3252,7734,10986,'byte_500'
'time_0',10986,-6901,4085,3245,7330,-6560,770,2482,3252,7734,10986,-10984,2,'byte_500'
'time_1',4085,7328,7330,-6560,770,2482,3252,7734,10986,-10984,2,7322,7324,'byte_8500'
'time_1',7330,-6554,770,2482,3252,7734,10986,-10984,2,7322,7324,-3295,4029,'byte_4500'
'time_1',770,-777,3252,7734,10986,-10984,2,7322,7324,-3295,4029,-3989,40,'byte_500'
'time_1',3252,10946,10986,-10984,2,7322,7324,-3295,4029,-3989,40,3587,3627,'byte_500'
'time_1',10986,-3625,2,7322,7324,-3295,4029,-3989,40,3587,3627,398,4025,'byte_500'
'time_1',2,3299,7324,-3295,4029,-3989,40,3587,3627,398,4025,4032,8057,'byte_4000'
'time_2',7324,-4028,4029,-3989,40,3587,3627,398,4025,4032,8057,-974,7083,'byte_4500'
'time_2',4029,-7043,40,3587,3627,398,4025,4032,8057,-974,7083,-7083,0,'byte_500'
'time_2',40,3627,3627,398,4025,4032,8057,-974,7083,-7083,0,4028,4028,'byte_500'
'time_2',3627,-3,4025,4032,8057,-974,7083,-7083,0,4028,4028,-4027,1,'byte_500'
'time_2',4025,8056,8057,-974,7083,-7083,0,4028,4028,-4027,1,4026,4027,'byte_500'
'time_2',8057,3056,7083,-7083,0,4028,4028,-4027,1,4026,4027,-4027,0,'byte_500'
'time_3',7083,0,0,4028,4028,-4027,1,4026,4027,-4027,0,7324,7324,'byte_500'
'time_3',0,-3296,4028,-4027,1,4026,4027,-4027,0,7324,7324,-7324,0,'byte_4500'
'time_3',4028,1,1,4026,4027,-4027,0,7324,7324,-7324,0,0,0,'byte_500'
'time_3',1,4027,4027,-4027,0,7324,7324,-7324,0,0,0,0,0,'byte_500'
'time_3',4027,0,0,7324,7324,-7324,0,0,0,0,0,8055,8055,'byte_500'
'time_4',0,-731,7324,-7324,0,0,0,0,0,8055,8055,-4027,4028,'byte_500'
'time_4',7324,-4028,0,0,0,0,0,8055,8055,-4027,4028,-4028,0,'byte_500'
'time_4',0,0,0,0,0,8055,8055,-4027,4028,-4028,0,0,0,'byte_500'
'time_4',0,0,0,8055,8055,-4027,4028,-4028,0,0,0,0,0,'byte_500'
'time_4',0,8055,8055,-4027,4028,-4028,0,0,0,0,0,3661,3661,'byte_4500'
'time_4',8055,367,4028,-4028,0,0,0,0,0,3661,3661,367,4028,'byte_500'
'time_5',4028,-4028,0,0,0,0,0,3661,3661,367,4028,-4028,0,'byte_8500'
'time_5',0,0,0,0,0,3661,3661,367,4028,-4028,0,0,0,'byte_4000'
'time_5',0,0,0,3661,3661,367,4028,-4028,0,0,0,0,0,'byte_500'
'time_5',0,3661,3661,367,4028,-4028,0,0,0,0,0,0,0,'byte_500'
'time_5',3661,4028,4028,-4028,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',4028,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,4028,4028,'byte_4000'
'time_6',0,-4028,0,0,0,0,0,0,0,4028,4028,-4028,0,'byte_8500'
'time_6',0,0,0,0,0,0,0,4028,4028,-4028,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,4028,4028,-4028,0,0,0,0,0,'byte_500'
'time_6',0,0,0,4028,4028,-4028,0,0,0,0,0,0,0,'byte_7500'
'time_6',0,4028,4028,-4028,0,0,0,0,0,0,0,0,0,'byte_3000'
'time_7',4028,0,0,0,0,0,0,0,0,0,0,0,0,'byte_8500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,4027,4027,'byte_4500'
'time_7',0,-4027,0,0,0,0,0,0,0,4027,4027,-4027,0,'byte_4000'
'time_7',0,0,0,0,0,0,0,4027,4027,-4027,0,8055,8055,'byte_4500'
'time_7',0,-8055,0,0,0,4027,4027,-4027,0,8055,8055,-4393,3662,'byte_7500'
'time_8',0,-3662,0,4027,4027,-4027,0,8055,8055,-4393,3662,-3659,3,'byte_8500'
'time_8',0,4024,4027,-4027,0,8055,8055,-4393,3662,-3659,3,-3,0,'byte_4000'
'time_8',4027,0,0,8055,8055,-4393,3662,-3659,3,-3,0,4028,4028,'byte_8500'
'time_8',0,4027,8055,-4393,3662,-3659,3,-3,0,4028,4028,-4028,0,'byte_4500'
'time_8',8055,3662,3662,-3659,3,-3,0,4028,4028,-4028,0,3663,3663,'byte_500'
'time_9',3662,-3660,3,-3,0,4028,4028,-4028,0,3663,3663,4393,8056,'byte_10000'
'time_9',3,-8056,0,4028,4028,-4028,0,3663,3663,4393,8056,-4315,3741,'byte_10000'
'time_9',0,287,4028,-4028,0,3663,3663,4393,8056,-4315,3741,-3566,175,'byte_10000'
'time_9',4028,-175,0,3663,3663,4393,8056,-4315,3741,-3566,175,6988,7163,'byte_4500'
'time_9',0,-3500,3663,4393,8056,-4315,3741,-3566,175,6988,7163,-4492,2671,'byte_7500'
'time_9',3663,5385,8056,-4315,3741,-3566,175,6988,7163,-4492,2671,5384,8055,'byte_4000'
'time_10',8056,-4314,3741,-3566,175,6988,7163,-4492,2671,5384,8055,-8055,0,'byte_4500'
'time_10',3741,175,175,6988,7163,-4492,2671,5384,8055,-8055,0,4074,4074,'byte_4500'
'time_10',175,3089,7163,-4492,2671,5384,8055,-8055,0,4074,4074,-452,3622,'byte_4000'
'time_10',7163,-951,2671,5384,8055,-8055,0,4074,4074,-452,3622,406,4028,'byte_10000'
'time_10',2671,4027,8055,-8055,0,4074,4074,-452,3622,406,4028,3297,7325,'byte_4000'
'time_10',8055,-7325,0,4074,4074,-452,3622,406,4028,3297,7325,734,8059,'byte_4500'
'time_11',0,-3985,4074,-452,3622,406,4028,3297,7325,734,8059,-4398,3661,'byte_6500'
'time_11',4074,-39,3622,406,4028,3297,7325,734,8059,-4398,3661,4404,8065,'byte_500'
'time_11',3622,-4037,4028,3297,7325,734,8059,-4398,3661,4404,8065,-4043,4022,'byte_10000'
'time_11',4028,3303,7325,734,8059,-4398,3661,4404,8065,-4043,4022,-4022,0,'byte_7500'
'time_11',7325,8059,8059,-4398,3661,4404,8065,-4043,4022,-4022,0,16111,16111,'byte_9500'
'time_11',8059,-12450,3661,4404,8065,-4043,4022,-4022,0,16111,16111,-2501,13610,'byte_6500'
'time_12',3661,-5545,8065,-4043,4022,-4022,0,16111,16111,-2501,13610,-1524,12086,'byte_10000'
'time_12',8065,-8064,4022,-4022,0,16111,16111,-2501,13610,-1524,12086,-7886,4200,'byte_7500'
'time_12',4022,-4200,0,16111,16111,-2501,13610,-1524,12086,-7886,4200,3263,7463,'byte_8500'
'time_12',0,8648,16111,-2501,13610,-1524,12086,-7886,4200,3263,7463,-3799,3664,'byte_8500'
'time_12',16111,9946,13610,-1524,12086,-7886,4200,3263,7463,-3799,3664,363,4027,'byte_4000'
'time_13',13610,8059,12086,-7886,4200,3263,7463,-3799,3664,363,4027,441,4468,'byte_4500'
'time_13',12086,-268,4200,3263,7463,-3799,3664,363,4027,441,4468,-807,3661,'byte_4000'
'time_13',4200,3802,7463,-3799,3664,363,4027,441,4468,-807,3661,16481,20142,'byte_10000'
'time_13',7463,-16478,3664,363,4027,441,4468,-807,3661,16481,20142,-16479,3663,'byte_4000'
'time_13',3664,364,4027,441,4468,-807,3661,16481,20142,-16479,3663,363,4026,'byte_500'
'time_13',4027,442,4468,-807,3661,16481,20142,-16479,3663,363,4026,2409,6435,'byte_4500'
'time_14',4468,-2774,3661,16481,20142,-16479,3663,363,4026,2409,6435,-6433,2,'byte_7500'
'time_14',3661,20140,20142,-16479,3663,363,4026,2409,6435,-6433,2,16107,16109,'byte_4500'
'time_14',20142,-12446,3663,363,4026,2409,6435,-6433,2,16107,16109,-8784,7325,'byte_500'
'time_14',3663,-3299,4026,2409,6435,-6433,2,16107,16109,-8784,7325,2021,9346,'byte_500'
'time_14',4026,-2911,6435,-6433,2,16107,16109,-8784,7325,2021,9346,-3195,6151,'byte_4500'
'time_14',6435,-6149,2,16107,16109,-8784,7325,2021,9346,-3195,6151,13987,20138,'byte_8500'
'time_15',2,-4029,16109,-8784,7325,2021,9346,-3195,6151,13987,20138,-12813,7325,'byte_4000'
'time_15',16109,0,7325,2021,9346,-3195,6151,13987,20138,-12813,7325,729,8054,'byte_1000'
'time_15',7325,1292,9346,-3195,6151,13987,20138,-12813,7325,729,8054,4,8058,'byte_7000'
'time_15',9346,-1907,6151,13987,20138,-12813,7325,729,8054,4,8058,-4396,3662,'byte_4000'
'time_15',6151,16476,20138,-12813,7325,729,8054,4,8058,-4396,3662,364,4026,'byte_500'
'time_15',20138,3299,7325,729,8054,4,8058,-4396,3662,364,4026,-363,3663,'byte_10000'
'time_16',7325,4391,8054,4,8058,-4396,3662,364,4026,-363,3663,8417,12080,'byte_500'
'time_16',8054,-4022,8058,-4396,3662,364,4026,-363,3663,8417,12080,-8418,3662,'byte_500'
'time_16',8058,0,3662,364,4026,-363,3663,8417,12080,-8418,3662,-3662,0,'byte_4500'
'time_16',3662,4026,4026,-363,3663,8417,12080,-8418,3662,-3662,0,4035,4035,'byte_10000'
