@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4040,0,0,3202,3202,2128,5330,7240,12570,-8907,3663,8418,12081,'byte_10000'
'time_0',0,-8879,3202,2128,5330,7240,12570,-8907,3663,8418,12081,-2040,10041,'byte_7500'
'time_0',3202,-4711,5330,7240,12570,-8907,3663,8418,12081,-2040,10041,-2714,7327,'byte_4500'
'time_0',5330,5243,12570,-8907,3663,8418,12081,-2040,10041,-2714,7327,-3304,4023,'byte_4000'
'time_1',12570,-360,3663,8418,12081,-2040,10041,-2714,7327,-3304,4023,-351,3672,'byte_8500'
'time_1',3663,8409,12081,-2040,10041,-2714,7327,-3304,4023,-351,3672,4385,8057,'byte_7000'
'time_1',12081,1984,10041,-2714,7327,-3304,4023,-351,3672,4385,8057,-1319,6738,'byte_500'
'time_1',10041,589,7327,-3304,4023,-351,3672,4385,8057,-1319,6738,-6502,236,'byte_8000'
'time_1',7327,3787,4023,-351,3672,4385,8057,-1319,6738,-6502,236,7559,7795,'byte_500'
'time_1',4023,-4123,3672,4385,8057,-1319,6738,-6502,236,7559,7795,-7795,0,'byte_4000'
'time_2',3672,8057,8057,-1319,6738,-6502,236,7559,7795,-7795,0,3661,3661,'byte_8500'
'time_2',8057,3077,6738,-6502,236,7559,7795,-7795,0,3661,3661,4393,8054,'byte_4500'
'time_2',6738,-7818,236,7559,7795,-7795,0,3661,3661,4393,8054,-4027,4027,'byte_4000'
'time_2',236,3768,7795,-7795,0,3661,3661,4393,8054,-4027,4027,-364,3663,'byte_500'
'time_2',7795,-3663,0,3661,3661,4393,8054,-4027,4027,-364,3663,-3663,0,'byte_8500'
'time_2',0,3661,3661,4393,8054,-4027,4027,-364,3663,-3663,0,8060,8060,'byte_500'
